,Type,Item,NumObs,TotCnt,TotMod,AvgCnt,AvgMod,Tstat,AvgErr,PctErr,PctRMSE,MAPE,CorrCoef,SumSqErr,MeanSqErr,Miles,kVMT,kVHT_FF,kVHT_CTime
0,Areawide,All,385,1769218.156736,1977899.0008151522,4595.371835677922,5137.400002117279,1.3155571176563432,542.0281664393569,11.795088315402783,48.99034551515106,53.13630296886191,0.93463278114406,1951295534.7869964,5068300.090355835,113.81619476098601,549.0191799283102,809.67190268329,899.2809414850487
1,Freeways,All,9,234867.3111,257260.73620601406,26096.367899999997,28584.526245112673,0.6079110255561958,2488.1583451126753,9.534500565930003,16.39328028646044,9.316503031979797,0.9524798038907332,164715462.77743602,18301718.086381778,5.374999999999999,166.48489274077355,162.47307877206458,174.79123958942583
2,Non-Freeways,All,376,1534350.845636,1720638.264609138,4080.720334138298,4576.1655973647285,1.5415790461593104,495.4452632264306,12.141122710166094,53.41712233279486,54.185181158840464,0.8928861906685902,1786580072.0095603,4751542.744706278,108.44119476098601,382.5342871875367,647.1988239112254,724.489701895623
3,Urban,All,247,1304617.751631,1435668.0230117918,5281.853245469636,5812.421145796728,1.043643256665413,530.5679003270916,10.045108708428648,45.91728225610046,55.045429537300386,0.9191816458183452,1452853969.4378252,5881999.876266499,46.16856645907733,324.85989452519965,523.585210551103,590.1803597662805
4,Rural,All,138,464600.405105,542230.9778033607,3366.669602210145,3929.209984082324,0.8267060529890091,562.5403818721788,16.709105684231186,56.45040793597079,49.71924309636695,0.9585321698344027,498441565.3491708,3611895.401080948,67.64762830190867,224.1592854031105,286.0866921321869,309.10058171876835
5,Interstates,All,6,166779.66,177974.66925226047,27796.61,29662.444875376746,0.4673117268499829,1865.834875376746,6.712454775516677,12.543775160578,7.5660714747762645,0.9373062125723132,72944313.23558736,12157385.53926456,4.5169999999999995,139.27831168252902,131.18698731180385,141.6838141292028
6,Non-Interstate Freeway,All,3,68087.6511,79286.06695375362,22695.883700000002,26428.68898458454,0.35727265007150266,3732.8052845845377,16.44705856764915,24.369429439635205,12.817366146386858,0.9931362157567875,91771149.54184867,30590383.180616226,0.8580000000000001,27.206581058244492,31.286091460260685,33.107425460223006
7,Principal Arterial,All,16,195095.02525,212763.84463882577,12193.439078125,13297.74028992661,0.4703399908029082,1104.3012118016104,9.056519696586045,24.57931689723232,16.904805637260704,0.9139104750246576,143718284.9601568,8982392.8100098,3.2569999999999997,45.15778640057922,70.84219480990855,83.13459298924688
8,Minor Arterial,All,139,749258.5644670001,781420.8598043285,5390.349384654677,5621.732804347687,0.4331169403847589,231.38341969301018,4.292549576688216,45.91968782215608,44.184681188012284,0.8484103257015879,851621241.6872727,6126771.52293002,25.644,134.03195676301314,243.15648145663033,277.8507301523708
9,Major Collector,All,145,440657.99789,501360.38647883077,3039.0206751034484,3457.6578377850396,1.0314271528737564,418.63716268159124,13.775396992563756,64.97277081410917,50.32555010087112,0.8958781527122025,565324864.8465238,3898792.1713553364,52.065006664672666,144.60338394788084,239.35092224144108,267.23545115539724
