,Statistics
Population,"158,268"
Total Employment,"80,096"
Housing Units (HU),"63,004"
Person Trips (PrT),"709,422"
Vehicle Trips (PrT),"422,260"
Daily VMT,"3,936,532"
Daily Per Capita VMT,24.87
Daily VMT Per HU,62.48
AM VMT,"464,708"
AM VMT Per HU,7.38
PM VMT,"934,135"
PM VMT Per HU,14.83
OP VMT,"2,537,688"
OP VMT Per HU,40.28
PM Peak Hr VMT,"321,528"
PM Peak Hr VMT Per HU,5.10
Daily VHT,"87,773"
Daily Per Capita VHT,0.55
Daily VHT Per HU,1.39
AM VHT,"10,412"
AM VHT Per HU,0.17
PM VHT,"21,600"
PM VHT Per HU,0.34
OP VHT,"55,762"
OP VHT Per HU,0.89
PM Peak Hr VHT,"7,529"
PM Peak Hr VHT Per HU,0.12
Daily VHD,"5,075"
Daily Per Capita VHD,0.03
Daily VHD Per HU,0.08
AM VHD,611
AM VHD Per HU,0.01
PM VHD,"1,786"
PM VHD Per HU,0.03
OP VHD,"2,678"
OP VHD Per HU,0.04
PM Peak Hr VHD,669
PM Peak Hr VHD Per HU,0.01
