Lanes,B,C,D,E,F
4,4120,5540,6700,7190,7190
6,6130,8370,10060,11100,11100
8,8230,11100,13390,15010,15010
10,10330,14040,16840,18930,18930
12,14450,18880,22030,22860,22860
