,Type,Item,NumObs,TotCnt,TotMod,AvgCnt,AvgMod,Tstat,AvgErr,PctErr,PctRMSE,MAPE,CorrCoef,SumSqErr,MeanSqErr,Miles,kVMT,kVHT_FF,kVHT_CTime
0,Areawide,All,385,1769218.156736,1756202.023666367,4595.371835677922,4561.563697834719,-0.08463569435099252,-33.80813784320253,-0.7356997225060257,44.25058373085339,47.21621613007919,0.93509379154871,1591988968.4761953,4135036.2817563517,113.81619476098601,496.07911509135107,721.5229916159035,785.8019588282609
1,Freeways,All,9,234867.3111,245574.81832902264,26096.367899999997,27286.09092544696,0.30149083922368064,1189.7230254469614,4.5589601970891955,11.035862172162465,7.537510029988725,0.9740344752232953,74647484.60003643,8294164.955559603,5.374999999999999,158.99087129365,154.5353814866726,164.43882158641838
2,Non-Freeways,All,376,1534350.845636,1510627.2053373442,4080.720334138298,4017.625546109958,-0.20429000898496533,-63.094788028339735,-1.5461679032621847,49.227854828763974,48.16597239311326,0.8896277365033667,1517341483.876159,4035482.6698834016,108.44119476098601,337.08824379770107,566.9876101292307,621.3631372418423
3,Urban,All,247,1304617.751631,1247579.0241577323,5281.853245469636,5050.927223310657,-0.4697450915220274,-230.92602215897932,-4.372064338535906,42.181507624215456,47.49865049536044,0.9193335457369892,1226065888.7665215,4963829.5091762,46.16856645907733,287.1905254552625,456.9180794006202,504.5698383735746
4,Rural,All,138,464600.405105,508622.9995086347,3366.669602210145,3685.67390948286,0.47813003123009146,319.00430727271487,9.475367201560127,48.367635864965145,46.71069954874245,0.9643922029949015,365923079.7096737,2651616.519635317,67.64762830190867,208.8885896360885,264.60491221528315,281.23212045468614
5,Interstates,All,6,166779.66,172860.03436200556,27796.61,28810.005727000927,0.2786922022241022,1013.3957270009269,3.6457529425384134,7.542144537823074,4.955860606235978,0.9627386192802078,26370879.839179486,4395146.639863248,4.5169999999999995,133.79318157421486,125.70185720349194,134.1595643233452
6,Non-Interstate Freeway,All,3,68087.6511,72714.78396701708,22695.883700000002,24238.261322339025,0.1504400969464897,1542.3776223390232,6.79584740002445,17.67504934061323,12.700808877494218,0.9951209710166088,48276604.76085694,16092201.586952314,0.8580000000000001,25.197689719435154,28.8335242831807,30.279257263073188
7,Principal Arterial,All,16,195095.02525,189215.9568825839,12193.439078125,11825.997305161494,-0.1638807275144797,-367.4417729635061,-3.0134383795191604,20.237208610745686,11.53601595923035,0.9220310720499216,97425720.27360162,6089107.517100101,3.2569999999999997,40.02569003733738,63.01743623147104,71.56172391978261
8,Minor Arterial,All,139,749258.5644670001,683507.2733825017,5390.349384654677,4917.318513543178,-0.9047638052289176,-473.03087111149944,-8.77551411524697,44.769082855490694,39.658629164696215,0.8521550184095372,809477956.139431,5823582.418269288,25.644,118.13591428576872,213.2883175729582,238.63237587465875
9,Major Collector,All,145,440657.99789,433498.1778063007,3039.0206751034484,2989.6426055606944,-0.1276867433556018,-49.37806954275402,-1.624802027418691,58.07565872281235,46.007844836115076,0.8887555125827014,451672449.197328,3114982.408257434,52.065006664672666,125.71208544564405,206.00477301417,224.60258204525093
