,Type,Item,NumObs,TotCnt,TotMod,AvgCnt,AvgMod,Tstat,AvgErr,PctErr,PctRMSE,MAPE,CorrCoef,SumSqErr,MeanSqErr,Miles,kVMT,kVHT_FF,kVHT_CTime
0,Areawide,All,383,152160.96382200002,149469.5695851797,397.2871118067886,390.2599728072577,-0.22013325130087036,-7.027138999530848,-1.7687810126970178,41.7587577155215,45.4292336656879,0.9304579177890234,10541511.035197377,27523.52750704276,112.864194760986,41.485023500214126,61.46295029189485,66.89286789472612
1,Freeways,All,9,17732.5642,19659.332490611047,1970.2849111111111,2184.370276734561,0.6873344685877691,214.08536562344966,10.86570599085183,13.72892777897639,10.713622064641546,0.9823183977129376,658527.3444259705,73169.70493621894,5.374999999999999,12.68403823499914,12.33768298379764,13.129543652195455
2,Non-Freeways,All,374,134428.399622,129810.23709456867,359.4342235882353,347.0861954400232,-0.4871391440008368,-12.348028148212109,-3.435406908374396,45.22606598918621,46.2646360838949,0.8904480485420094,9882983.690771407,26425.09008227649,107.48919476098601,28.800985265214994,49.125267308097214,53.76332424253066
3,Urban,All,247,112924.62529170001,108001.07731284996,457.184717780162,437.25132515323867,-0.5020198232048395,-19.933392626923307,-4.360030388528497,41.14907258370059,46.30594062938743,0.9099979985351371,8741791.946739566,35391.87022971484,46.16856645907733,24.27974168914863,39.44096712743303,43.58242212402069
4,Rural,All,136,39236.3385303,41468.49227232975,288.50248919338236,304.9153843553658,0.31686182909683264,16.412895161983442,5.688996031844262,39.87340672295435,43.83697910661597,0.9711005446629777,1799719.0884578112,13233.228591601553,66.69562830190867,17.205281811065504,22.021983164461826,23.310445770705428
5,Interstates,All,6,12457.012,13798.842712614147,2076.168666666667,2299.8071187690243,0.7367230984159857,223.6384521023574,10.771689973599964,11.67723667537215,11.138597285402607,0.9824324509727773,352660.38758264395,58776.73126377399,4.5169999999999995,10.67280555260832,10.025922946771487,10.700021971940645
6,Non-Interstate Freeway,All,3,5275.5522,5860.489777996899,1758.5174,1953.496592665633,0.24568435432172575,194.97919266563304,11.08770334974411,18.157622543746697,9.863671623119428,0.9944015159089421,305866.95684332657,101955.65228110885,0.8580000000000001,2.0112326823908186,2.311760037026153,2.429521680254809
7,Principal Arterial,All,16,16125.015126999999,15416.875383228005,1007.8134454374999,963.5547114517503,-0.2432793305787383,-44.258733985749586,-4.39156018270192,22.438096761781495,28.37426793327914,0.9050764261815271,818186.5046313682,51136.65653946051,3.2569999999999997,3.262726746424777,5.161390732317532,5.864546238681747
8,Minor Arterial,All,138,66157.21416830001,59927.28549744948,479.40010266884065,434.2556920105035,-1.0358083946224628,-45.144410658337165,-9.41685460787687,42.20057701293839,36.22485966434162,0.8514146704931501,5648226.578754204,40929.17810691452,25.04,10.071154301556563,18.535351563412778,20.797873696528598
9,Major Collector,All,144,39111.623725,37449.25087743171,271.60849809027775,260.06424220438686,-0.37512712043385205,-11.544255885890891,-4.25032941423423,48.22008062980312,44.40202430595308,0.8842279175714586,2470046.132918982,17153.098145270706,51.71700666467267,10.790604430252703,17.986070219651534,19.495238968375567
10,Minor Collector,All,25,2942.015,3926.106021912818,117.6806,157.04424087651273,1.4423663655690144,39.36364087651273,33.44955827597134,86.61133407721466,75.43748366099285,0.542126595315476,259716.30342204394,10388.652136881758,15.911188096313332,2.627168658680526,3.757992588893808,3.8104166212649613
11,Local Road or Street,All,25,2632.7200000000003,2845.6590685111746,105.3088,113.82636274044698,0.3162670015676909,8.517562740446976,8.088177569630435,69.09546067212534,91.35957908530109,0.7061407925484416,132363.53890047653,5294.541556019061,8.112,0.729651251902192,1.422153844281734,1.4576484710414988
12,Ramps,All,26,7459.811601699999,10245.060246035486,286.91583083461535,394.0407786936725,2.0256111953828833,107.12494785905716,37.33671563100551,50.89649858174947,49.466804078865046,0.9098795701615982,554444.6321443319,21324.793544012766,3.452,1.31967987639823,2.2623083595398223,2.3376002466382895
13,Urban Interstates,All,2,5139.8009999999995,5729.317006325031,2569.9004999999997,2864.6585031625154,2.7506649344316343,294.7580031625157,11.469627059978226,11.917864721521395,11.621205756510584,1.0,187611.52619470272,93805.76309735136,2.145,6.144627311750479,6.144627311750479,6.697442572440242
14,Urban Non-Interstate Freeway,All,3,5275.5522,5860.489777996899,1758.5174,1953.496592665633,0.24568435432172575,194.97919266563304,11.08770334974411,18.157622543746697,9.863671623119428,0.9944015159089421,305866.95684332657,101955.65228110885,0.8580000000000001,2.0112326823908186,2.311760037026153,2.429521680254809
15,Urban Principal Arterial,All,14,12761.18036,11765.943375265662,911.5128828571429,840.4245268046901,-0.4322294864966736,-71.08835605245281,-7.798941451011192,25.669940494978,31.2705077153637,0.9011872648037396,766484.5087069424,54748.893479067316,2.8179999999999996,2.3842637943656873,4.076864518642973,4.664531363741086
16,Urban Minor Arterial,All,120,61710.406650000004,55787.10539338091,514.25338875,464.8925449448409,-1.0241607954144256,-49.36084380515911,-9.59854516955949,41.99091518248377,38.919880368957855,0.8408037795747291,5595594.7068209555,46629.95589017463,19.467,8.808630781342988,16.886152866790496,19.118416534075894
17,Urban Major Collector,All,76,20346.215,18510.955136923563,267.7133552631579,243.5651991700469,-0.7823973108391139,-24.148156093110998,-9.020153689894832,49.956597050340235,49.35414276614038,0.7589937783872411,1359375.2587658395,17886.516562708413,15.62256645907733,3.4195525846634567,7.2890007843619085,7.840280792886166
18,Urban Minor Collector,All,1,200.7,351.9339021760662,200.7,351.9339021760662,,151.23390217606624,75.35321483610674,75.35321483610674,75.35321483610676,0.0,22871.69316739997,22871.69316739997,0.45199999999999996,0.1590741237835819,0.23861118567537293,0.24501573979207636
19,Urban Local Road or Street,All,16,1841.105,2343.598213679901,115.0690625,146.47488835499382,0.9174518919830431,31.40582585499382,27.29302313990246,73.22590549711296,113.65450270864439,0.6536995381594439,113596.9402655977,7099.808766599856,3.142,0.4635043236910683,0.9701971309104183,1.00096413370519
20,Urban Ramps,All,15,5649.6650817,7651.734507101929,376.64433878,510.11563380679524,2.165055223632843,133.47129502679525,35.43695770368569,42.83240562499527,42.1214032256797,0.8907162420068364,390390.3559748015,26026.023731653437,1.6639999999999997,0.8888560871605468,1.5237532922752233,1.5862493071252217
21,Rural Interstates,All,4,7317.211,8069.525706289115,1829.30275,2017.3814265722788,0.6349217500291291,188.0786765722787,10.281440651214169,11.104287138658885,10.89729304984862,0.9789470511502133,165048.86138794123,41262.21534698531,2.372,4.528178240857842,3.881295635021007,4.002579399500402
22,Rural Non-Interstate Freeway,All,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Rural Principal Arterial,All,2,3363.8347670000003,3650.9320079623403,1681.9173835000001,1825.4660039811702,0.38130924923145626,143.54862048117002,8.534819955451754,9.559474024725988,8.100589458687226,0.9999999999999998,51701.995924425624,25850.997962212812,0.4389999999999999,0.8784629520590904,1.0845262136745584,1.2000148749406616
24,Rural Minor Arterial,All,18,4446.8075183,4140.180104068565,247.04486212777778,230.01000578158695,-0.3416418045347455,-17.03485634619082,-6.895450566941954,21.88831497438656,18.258054966900065,0.9382371665951167,52631.871933249415,2923.992885180523,5.5729999999999995,1.2625235202135745,1.6491986966222845,1.6794571624527033
