,Type,Item,NumObs,TotCnt,TotMod,AvgCnt,AvgMod,Tstat,AvgErr,PctErr,PctRMSE,MAPE,CorrCoef,SumSqErr,MeanSqErr,Miles,kVMT,kVHT_FF,kVHT_CTime
0,Areawide,All,383,207554.9195732,239253.09864602148,541.9188500605744,624.681719702406,1.6867840129405864,82.76286964183157,15.272188747924256,57.48932079042413,64.1919000863394,0.9170134374942771,37174201.17075624,97060.57746933746,112.864194760986,66.0344840725717,97.66120880583624,108.07038050497925
1,Freeways,All,9,25915.112399999998,30350.96559245231,2879.456933333333,3372.3295102724787,1.0183887469480262,492.8725769391458,17.116858781026597,29.95129270477386,20.29152687723819,0.8663160135082446,6694140.556248695,743793.3951387438,5.374999999999999,19.3902283672142,19.023311204413297,20.49659559372856
2,Non-Freeways,All,374,181639.8071732,208902.13305356918,485.66793361818185,558.5618530844096,1.8550013630466895,72.89391946622771,15.009003975859526,58.78041962038881,65.24832617960654,0.8797259729304864,30480060.61450755,81497.48827408436,107.48919476098601,46.6442557053575,78.63789760142294,87.5737849112507
3,Urban,All,247,153255.437815,174642.63296308633,620.4673595748989,707.0551941825357,1.4276903332038782,86.58783460763686,13.955260219806057,54.46737402382014,69.05342056271981,0.89922750372094,28210300.23046893,114211.74182376085,46.16856645907733,39.31285684078426,63.281266380421656,70.9087885801759
4,Rural,All,136,54299.4817582,64610.46568293519,399.2608952808824,475.076953550994,0.9389341328097591,75.81605827011163,18.989101904601647,64.30167614832592,55.36252098585438,0.944641806951738,8963900.940287314,65911.03632564202,66.69562830190867,26.721627231787462,34.37994242541458,37.16159192480337
5,Interstates,All,6,17763.258,20031.535901652434,2960.543,3338.5893169420724,0.8256948985775514,378.0463169420723,12.76949252019215,26.30436992718937,18.665110741235992,0.6945312761392309,3638729.7711780323,606454.9618630054,4.5169999999999995,15.839200822341706,14.952394223477077,16.19235893570919
6,Non-Interstate Freeway,All,3,8151.8544,10319.429690799876,2717.2848,3439.809896933292,0.5478277165525919,722.5250969332919,26.58996572362573,37.13975349058923,23.544359149242588,0.9983617106008867,3055410.7850706624,1018470.2616902208,0.8580000000000001,3.551027544872496,4.070916980936226,4.304236658019374
7,Principal Arterial,All,16,22036.142547000003,25902.207802938392,1377.2589091875002,1618.8879876836495,0.8352063188794365,241.6290784961493,17.544201521171928,38.62295568744747,22.300176871470015,0.8605332237595807,4527330.245013537,282958.14031334606,3.2569999999999997,5.59720556177444,8.657830451215952,9.983933877921622
8,Minor Arterial,All,138,91446.3346924,94627.02077697452,662.6545992202899,685.703049108511,0.3525728121331872,23.048449888221057,3.4781996405579814,47.70254234369249,52.86363311007028,0.8332193855772031,13789120.63257081,99921.16400413631,25.04,16.08385260852547,29.149460730365043,33.09078576703599
9,Major Collector,All,144,51317.936568799996,60942.59230170333,356.3745595055555,423.21244653960645,1.333435651174546,66.83788703405094,18.754954654109927,64.58989043616758,63.114322961551515,0.9012802186832919,7629656.308371328,52983.72436368978,51.71700666467267,17.7821518157049,29.40085037760653,32.772855166986865
