,Statistics
Population,"163,664"
Total Employment,"85,076"
Housing Units (HU),"65,162"
Person Trips (PrT),"728,184"
Vehicle Trips (PrT),"436,531"
Daily VMT,"3,986,752"
Daily Per Capita VMT,24.36
Daily VMT Per HU,61.18
AM VMT,"471,451"
AM VMT Per HU,7.24
PM VMT,"946,505"
PM VMT Per HU,14.53
OP VMT,"2,568,796"
OP VMT Per HU,39.42
PM Peak Hr VMT,"325,833"
PM Peak Hr VMT Per HU,5.00
Daily VHT,"89,303"
Daily Per Capita VHT,0.55
Daily VHT Per HU,1.37
AM VHT,"10,615"
AM VHT Per HU,0.16
PM VHT,"21,996"
PM VHT Per HU,0.34
OP VHT,"56,693"
OP VHT Per HU,0.87
PM Peak Hr VHT,"7,677"
PM Peak Hr VHT Per HU,0.12
Daily VHD,"5,302"
Daily Per Capita VHD,0.03
Daily VHD Per HU,0.08
AM VHD,645
AM VHD Per HU,0.01
PM VHD,"1,862"
PM VHD Per HU,0.03
OP VHD,"2,795"
OP VHD Per HU,0.04
PM Peak Hr VHD,704
PM Peak Hr VHD Per HU,0.01
