,Type,Item,NumObs,TotCnt,TotMod,AvgCnt,AvgMod,Tstat,AvgErr,PctErr,PctRMSE,MAPE,CorrCoef,SumSqErr,MeanSqErr,Miles,kVMT,kVHT_FF,kVHT_CTime
0,Areawide,All,383,1128465.2256647001,1282630.5533596666,2946.3844012133163,3348.9048390591815,1.4733522085486763,402.5204378458652,13.661504509734302,51.27775617420703,57.01710319402786,0.934129490456532,874249943.8417728,2282636.9290907905,112.864194760986,354.8700639405488,522.541054493902,583.4593616354429
1,Freeways,All,9,156875.63700000002,167346.3535719245,17430.626333333334,18594.039285769388,0.41794227786307026,1163.4129524360542,6.674533262245487,14.869521946834189,9.7869308338416,0.9531802654123016,60459215.503301635,6717690.61147796,5.374999999999999,109.00437541783037,106.23873819166455,114.48497220296767
2,Non-Freeways,All,374,971589.5886646999,1115284.199787742,2597.8331247719248,2982.0433149404867,1.8098998799327344,384.2101901685619,14.789640893592555,56.78182116071218,58.15365814387191,0.8931733005214118,813790728.3384712,2175911.0383381583,107.48919476098601,245.8656885227184,416.3023163022375,468.9743894324751
3,Urban,All,247,832757.7846816999,936210.9280494503,3371.489006808502,3790.3276439249,1.2464849647896852,418.8386371163979,12.42295722366529,48.399757107328824,59.028610454133975,0.9193993948787325,657698442.5715194,2662746.731058783,46.16856645907733,212.38259856300633,341.263377935701,386.84752218676715
4,Rural,All,136,295707.440983,346419.6253102164,2174.319418992647,2547.2031272810027,0.8198049079660893,372.8837082883556,17.149444788618545,58.03470760231239,53.3638510378057,0.9564731947046416,216551501.27025345,1592290.4505165694,66.69562830190867,142.48746537754243,181.27767655820108,196.6118394486756
5,Interstates,All,6,112177.86,116759.23548315384,18696.31,19459.87258052564,0.28424977667627443,763.5625805256386,4.084028241538777,10.959452609573415,7.325971786475975,0.9385728346247603,25190731.403288405,4198455.233881401,4.5169999999999995,91.46612152243677,86.17470488668998,93.24561007429749
6,Non-Interstate Freeway,All,3,44697.777,50587.11808877071,14899.259,16862.3726962569,0.27803936184985095,1963.1136962569017,13.17591496501203,23.012727747813944,14.708848928572849,0.9946131956363353,35268484.100013226,11756161.366671076,0.8580000000000001,17.538253895393606,20.06403330497458,21.239362128670187
7,Principal Arterial,All,16,127084.07799300001,142263.35134230152,7942.754874562501,8891.459458893845,0.6066562592825107,948.7045843313444,11.944276253188546,25.04448191392303,18.215097216953446,0.9291810956074325,63312054.424486205,3957003.401530388,3.2569999999999997,30.059650067643446,47.21923998957401,55.60527609089865
8,Minor Arterial,All,138,469772.72022799996,505857.5103711409,3404.15014657971,3665.6341331242093,0.7416381277396504,261.4839865444992,7.681329415132377,49.915530490050095,46.95355578184605,0.8406064452294266,398444542.76515585,2887279.2953996803,25.04,86.2599356419018,156.6174812604718,180.33781309036223
9,Major Collector,All,144,278077.520775,321192.7351485173,1931.0938942708333,2230.5051051980367,1.1203399637192237,299.41121092720346,15.50474639350765,68.93069797253133,54.46626207258164,0.8935736795283298,255149443.59963065,1771871.1361085463,51.71700666467267,92.05430430062127,152.47839801377407,171.42282587260124
10,Minor Collector,All,25,20058.13,29705.022481015894,802.3252,1188.2008992406359,1.8153440297421135,385.87569924063587,48.094675231519076,102.10538546148055,90.47849472668022,0.5820408091612943,16777922.08060262,671116.8832241048,15.911188096313332,19.6169366589898,27.972188063117162,28.421078384200396
11,Local Road or Street,All,25,18887.395,24860.986465176094,755.4958,994.4394586070438,1.089097356472886,238.94365860704374,31.627397347151863,98.64094848070353,129.33400232891242,0.6007763681926873,13884127.603374245,555365.1041349698,8.112,6.180706141467187,11.967884897423533,12.335988579233689
12,Ramps,All,26,57709.7446687,91404.59397959037,2219.6055641807693,3515.561306907322,2.6846131980936514,1295.9557427265527,58.38675860433225,71.9019649850641,63.07622029232738,0.9522059315886715,66222637.8652216,2547024.5332777537,3.452,11.694155712094869,20.047124077876923,20.851407415178862
13,Urban Interstates,All,2,44049.020000000004,50744.99861908564,22024.510000000002,25372.49930954282,4.46781034685791,3347.9893095428197,15.20119770901972,15.418457979279873,15.18291003590626,1.0000000000000002,23063456.15929891,11531728.079649456,2.145,54.42620507220929,54.42620507220929,60.50610012016908
14,Urban Non-Interstate Freeway,All,3,44697.777,50587.11808877071,14899.259,16862.3726962569,0.27803936184985095,1963.1136962569017,13.17591496501203,23.012727747813944,14.708848928572849,0.9946131956363353,35268484.100013226,11756161.366671076,0.8580000000000001,17.538253895393606,20.06403330497458,21.239362128670187
15,Urban Principal Arterial,All,14,99864.971283,110290.71209189236,7133.212234500001,7877.90800656374,0.5261630826366741,744.6957720637392,10.439837587643828,24.275628482248166,18.563258631498353,0.9092901732595733,41979696.260021314,2998549.7328586653,2.8179999999999996,22.063239943928,37.488327005217116,44.91534822979487
