Variable,Work0,Work1,Work2,Work3p
ASC,1.1453,-0.5111,0.0000,-0.7929
hhsize1,0,0,0,0
hhsize2,0.941,0.556,0,0
hhsize3,-0.855,0.142,0,-0.148
hhsize4p,-2.27,0.0134,0,0
income1,0,0.95,0,-0.942
income2,-1.18,0.578,0,-1.23
income3,-2.02,0,0,-0.548
income4,-2.82,-0.49,0,0
