Variable,Veh0,Veh1,Veh2,Veh3,,,,,,,,,
ASC,-3.75,-1.34,0,0.188,,,,,,,,,
hhsize1,1.96,1.83,0,-0.187,,,,,,,,,
hhsize2,0,0,0,0,,,,,,,,,
hhsize3,0,0.26,0,0.876,,,,,,,,,
hhsize4p,0,-0.335,0,1.07,,,,,,,,,
income1,2.01,1.16,0,-0.834,,,,,,,,,
income2,0.929,1.06,0,-0.649,,,,,,,,,
income3,0,0.586,0,-0.582,,,,,,,,,
income4,0,0,0,0,,,,,,,,,
wrk0,-0.56,-0.563,0,-0.563,,,,,,,,,
wrk1,-0.56,-0.56,0,-0.563,,,,,,,,,
wrk2,-0.56,-0.56,0,-0.563,,,,,,,,,
wrk3,-0.56,-0.56,0,-0.56,,,,,,,,,
