TAZ,REGION,HBW_P,HBO_P,NHB_P,HBW_A,HBO_A,NHB_A,P,A
101,Samish,39.04498724,78.88200206,5.509717003,2.324917666,4.834252431,5.509717003,123.4367063,12.6688871
102,Samish,31.47055186,63.57948387,37.11805033,14.88339037,32.90732137,37.11805033,132.1680861,84.90876206
103,Samish,15.84122944,32.00379822,3.658453411,1.89263526,1.759288211,3.658453411,51.50348107,7.310376883
104,Samish,18.36656565,37.1056971,4.861566685,2.398284833,3.489116245,4.861566685,60.33382943,10.74896776
105,Samish,6.414090164,12.95829015,5.095378534,2.429026204,4.378133281,5.095378534,24.46775885,11.90253802
106,Samish,4.961843334,10.02433766,2.593482828,1.127010928,1.251629497,2.593482828,17.57966382,4.972123253
107,Samish,11.72653009,23.69093284,53.56384494,20.0011761,39.81978102,53.56384494,88.98130787,113.3848021
108,Samish,2.662452521,5.378912892,0.731801918,0.27832412,0.499812339,0.731801918,8.773167331,1.509938377
109,Samish,13.66285919,27.60286949,15.13957801,5.19251229,13.12308225,15.13957801,56.40530669,33.45517254
110,Samish,13.12891644,26.52415296,0.108132651,0.093375695,0.081961818,0.108132651,39.76120205,0.283470164
111,Samish,18.65846727,37.69542155,1.491693758,0.774067489,1.193027016,1.491693758,57.84558257,3.458788263
112,Samish,29.12493119,58.84066161,5.118607786,4.12171574,3.408946843,5.118607786,93.08420059,12.64927037
113,Samish,33.51543641,67.71073347,23.2662099,9.01940354,20.72319003,23.2662099,124.4923798,53.00880348
114,Samish,3.872658212,7.823873297,3.873311407,1.262653245,3.794591455,3.873311407,15.56984292,8.930556106
115,Samish,2.420411383,4.889920811,96.10318318,29.6104492,71.16696268,96.10318318,103.4135154,196.8805951
116,Samish,28.56968882,57.71891378,17.05753181,6.754539186,12.41931219,17.05753181,103.3461344,36.23138319
117,Samish,1.410139132,2.663939725,62.88037968,19.8052885,60.65237144,62.88037968,66.95445854,143.3380396
118,Samish,10.27428326,20.75698035,2.147026248,1.663031255,1.678928118,2.147026248,33.17828986,5.488985621
119,Samish,34.07305917,75.53484243,4.04892906,1.868400543,3.01163773,4.04892906,113.6568307,8.928967333
120,Samish,52.47558506,100.7521587,4.584525051,2.835479641,3.078872643,4.584525051,157.8122688,10.49887734
121,Samish,35.20989331,67.60234792,13.27683778,5.056980688,10.62785264,13.27683778,116.089079,28.96167111
122,Samish,9.621983442,21.33048869,0.470621443,0.146137327,0.464059072,0.470621443,31.42309357,1.080817841
123,Samish,16.25416947,31.2077066,1.176307117,0.823363891,0.958401022,1.176307117,48.63818319,2.95807203
124,Samish,3.286046081,6.309148071,0.435079456,0.21525841,0.447015096,0.435079456,10.03027361,1.097352963
125,Samish,7.898536753,15.16504538,4.010784143,3.410151975,2.955996538,4.010784143,27.07436627,10.37693266
126,Samish,2.80270659,5.381145133,0.825057785,0.621583349,0.667175583,0.825057785,9.008909508,2.113816717
127,Samish,0.897361266,1.695234371,5.692897656,3.684950968,5.058682103,5.692897656,8.285493293,14.43653073
128,Samish,8.973612661,16.95234371,2.718729942,1.78098634,1.669547475,2.718729942,28.64468631,6.169263757
129,Samish,55.05760048,104.0111048,11.89697064,6.468756824,10.10897794,11.89697064,170.9656759,28.4747054
130,Samish,2.435694865,4.601350434,30.35183482,10.25406839,28.93223477,30.35183482,37.38888012,69.53813798
131,Samish,3.319852101,6.271640642,12.10378132,4.027552294,8.76363508,12.10378132,21.69527407,24.8949687
141,Upriver,25.54656776,56.63289466,2.391104882,1.931289046,1.7869385,2.391104882,84.5705673,6.109332428
142,Upriver,17.50547833,43.80927269,12.15739335,7.390730072,6.183518513,12.15739335,73.47214437,25.73164193
143,Upriver,57.68658009,144.3666417,17.86448375,7.21050676,13.29430839,17.86448375,219.9177055,38.3692989
144,Upriver,15.95311409,39.92432039,23.59251185,8.786798816,19.54160737,23.59251185,79.46994633,51.92091804
145,Upriver,11.47185894,28.70951522,48.71214422,17.78022777,15.76073561,48.71214422,88.89351838,82.25310759
146,Upriver,27.74107577,69.42491545,22.42698975,13.49242579,17.01807352,22.42698975,119.592981,52.93748906
147,Upriver,45.90645875,130.8409982,6.158099322,2.308465083,5.66539689,6.158099322,182.9055563,14.13196129
148,Upriver,31.77119588,90.5531617,116.5025984,45.07415841,100.6820566,116.5025984,238.826956,262.2588134
149,Upriver,6.608153979,18.83433152,1.045353581,0.571147121,1.010008019,1.045353581,26.48783908,2.626508721
150,Upriver,11.92200977,33.97969918,0.780211712,0.392275593,0.332537756,0.780211712,46.68192066,1.505025061
151,Upriver,22.5658261,45.22056435,2.654337423,1.504658702,1.960788587,2.654337423,70.44072787,6.119784711
