District,Model
14,int
15,int
16,int
17,int
18,int
19,int
20,int
13,int
1,ext
2,ext
3,ext
4,ext
5,ext
6,ext
7,ext
8,ext
9,ext
10,ext
11,ext
12,ext
21,ext
22,ext
23,ext
24,ext
25,ext
26,ext
27,ext
28,ext
29,ext
30,ext
31,ext
32,ext
33,ext
34,ext
35,ext
