Ext Station,Route Name,EI,IE
904,Annacortes Ferry,129,106
905,Guemes Ferry,26,33
906,,174,193
907,I-5,1831.6,2210.65
903,Alger Cain Lakes,108,349
908,,83,130
909,,146,121
910,,83,71
911,I-5,2818,2720
912,,350,540
922,,925,870
