TAZ,HBW_P,HBO_P,NHB_P,HBW_A,HBO_A,NHB_A,P,A
101,39,78.9,93.4,2.2,7.4,7.8,211.3,17.4
102,31.5,63.6,75.3,14.2,50.3,52.6,170.4,117.1
103,15.8,32,37.9,1.8,2.7,5.2,85.7,9.7
104,18.4,37.1,43.9,2.3,5.3,6.9,99.4,14.5
105,6.4,13,15.3,2.3,6.7,7.2,34.7,16.2
106,5,10,11.9,1.1,1.9,3.7,26.9,6.7
107,11.7,23.7,28,19.1,60.8,75.9,63.4,155.8
108,2.7,5.4,6.4,0.3,0.8,1,14.5,2.1
109,13.7,27.6,32.7,4.9,20,21.5,74,46.4
110,13.1,26.5,31.4,0.1,0.1,0.2,71,0.4
111,18.7,37.7,44.6,0.7,1.8,2.1,101,4.6
112,29.1,58.8,69.7,3.9,5.2,7.3,157.6,16.4
113,33.5,67.7,80.2,8.6,31.6,33,181.4,73.2
114,3.9,7.8,9.3,1.2,5.8,5.5,21,12.5
115,2.4,4.9,5.8,28.2,108.7,136.2,13.1,273.1
116,28.6,57.7,68.3,6.4,19,24.2,154.6,49.6
117,1.4,2.7,3.2,18.9,92.6,89.1,7.3,200.6
118,10.3,20.8,24.6,1.6,2.6,3,55.7,7.2
119,34.1,75.5,83.4,1.8,4.6,5.7,193,12.1
120,52.5,100.8,123,2.7,4.7,6.5,276.3,13.9
121,35.2,67.6,82.5,4.8,16.2,18.8,185.3,39.8
122,9.6,21.3,23.6,0.1,0.7,0.7,54.5,1.5
123,16.3,31.2,38.1,0.8,1.5,1.7,85.6,4
124,3.3,6.3,7.7,0.2,0.7,0.6,17.3,1.5
125,7.9,15.2,18.5,3.2,4.5,5.7,41.6,13.4
126,2.8,5.4,6.6,0.6,1,1.2,14.8,2.8
127,0.9,1.7,2.1,3.5,7.7,8.1,4.7,19.3
128,9,17,20.6,1.7,2.5,3.9,46.6,8.1
129,55.1,104,126.3,6.2,15.4,16.9,285.4,38.5
130,2.4,4.6,5.6,9.8,44.2,43,12.6,97
131,3.3,6.3,7.6,3.8,13.4,17.2,17.2,34.4
141,25.5,56.6,62.5,1.8,2.7,3.4,144.6,7.9
142,17.5,43.8,49.7,7,9.4,17.2,111,33.6
143,57.7,144.4,163.7,6.9,20.3,25.3,365.8,52.5
144,16,39.9,45.3,8.4,29.8,33.4,101.2,71.6
145,11.5,28.7,32.6,16.9,24.1,69,72.8,110
146,27.7,69.4,78.7,12.9,26,31.8,175.8,70.7
147,45.9,130.8,140.9,2.2,8.7,8.7,317.6,19.6
148,31.8,90.6,97.5,43,153.7,165.1,219.9,361.8
149,6.6,18.8,20.3,0.5,1.5,1.5,45.7,3.5
150,11.9,34,36.6,0.4,0.5,1.1,82.5,2
151,22.6,45.2,52.5,1.4,3,3.8,120.3,8.2
152,3.3,6.7,7.8,4.9,5.8,10.3,17.8,21
153,41.5,83.1,96.5,9,27.7,32.4,221.1,69.1
154,0.8,1.7,1.9,0,0,0,4.4,0
171,14.7,30.9,36.6,5.6,11.5,14.1,82.2,31.2
172,15.5,32.7,38.8,1.2,1.8,2.3,87,5.3
173,29.9,62.9,74.7,8.8,33.6,37.3,167.5,79.7
174,33.7,70.8,84.1,3.5,13.1,13.3,188.6,29.9
175,6.6,13.8,16.4,2.7,3.4,8.1,36.8,14.2
176,34.9,73.4,87.1,1.2,2.8,3.8,195.4,7.8
177,29.2,58.6,68,9.4,17.6,20.2,155.8,47.2
178,8.6,17.2,20,1.6,5.4,6,45.8,13
179,0.5,1,1.1,0.7,1,1.2,2.6,2.9
180,5.8,11.8,13.6,1.1,2,2.3,31.2,5.4
181,8.9,18.2,21.5,0.9,1.3,1.5,48.6,3.7
182,24.6,50.6,59.7,4.8,23.4,23,134.9,51.2
183,30,61.7,72.8,5.2,15.4,18.7,164.5,39.3
184,29.8,61.3,72.3,18.7,61.7,72.8,163.4,153.2
185,12.4,25.6,30.2,3,4.3,6.6,68.2,13.9
186,15,30.9,36.4,2.1,7.5,9.6,82.3,19.2
201,33.3,63.8,77.9,26.9,93.6,99.9,175,220.4
202,0,0,0,0,0,0,0,0
