TAZ,HBW_P,HBO_P,NHB_P,HBW_A,HBO_A,NHB_A,P,A
101,39.04498724,78.88200206,93.39276379,2.215551995,7.38216352,7.807888078,211.3197531,17.40560359
102,31.47055186,63.57948387,75.2752664,14.1832658,50.25124997,52.600448,170.3253021,117.0349638
103,15.84122944,32.00379822,37.89106627,1.803604441,2.68652774,5.184439557,85.73609392,9.674571737
104,18.36656565,37.1056971,43.93148645,2.285467922,5.328068203,6.88938625,99.4037492,14.50292238
105,6.414090164,12.95829015,15.3420362,2.314763198,6.685645041,7.220723912,34.71441651,16.22113215
106,4.961843334,10.02433766,11.86836763,1.073995585,1.911305574,3.675256577,26.85454862,6.660557737
107,11.72653009,23.69093284,28.04900531,19.06030749,60.80694771,75.90598685,63.46646824,155.7732421
108,2.662452521,5.378912892,6.368392384,0.265231569,0.763240328,1.037045545,14.4097578,2.065517442
109,13.66285919,27.60286949,32.68056341,4.948253064,20.03965254,21.45448316,73.94629209,46.44238876
110,13.12891644,26.52415296,31.40341126,0.08898324,0.125160105,0.153236116,71.05648066,0.367379462
111,18.65846727,37.69542155,44.62969383,0.73765484,1.821816433,2.113897665,100.9835826,4.673368939
112,29.12493119,58.84066161,69.66471271,3.927827495,5.205645214,7.253642372,157.6303055,16.38711508
113,33.51543641,67.71073347,80.16648122,8.595124808,31.64542598,32.97083368,181.3926511,73.21138447
114,3.872658212,7.823873297,9.263116195,1.203257198,5.794545281,5.488917478,20.9596477,12.48671996
115,2.420411383,4.889920811,5.789447622,28.21755401,108.6757804,136.189009,13.09977982,273.0823434
116,28.56968882,57.71891378,68.33661342,6.436801177,18.96495782,24.1724392,154.625216,49.57419819
117,1.410139132,2.663939725,3.234942075,18.87363457,92.61943398,89.1085634,7.309020933,200.601632
118,10.27428326,20.75698035,24.57533674,1.58480116,2.563813554,3.042577439,55.60660035,7.191192152
119,34.07305917,75.53484243,83.40484434,1.780509741,4.598932824,5.737787426,193.0127459,12.11722999
120,52.47558506,100.7521587,122.9939094,2.702096796,4.701604154,6.496787126,276.2216532,13.90048808
121,35.20989331,67.60234792,82.52604372,4.819096958,16.2293027,18.81477096,185.3382849,39.86317061
122,9.621983442,21.33048869,23.55291984,0.13926293,0.708643166,0.666923464,54.50539197,1.51482956
123,16.25416947,31.2077066,38.09702826,0.784632307,1.463529918,1.666959358,85.55890434,3.915121582
124,3.286046081,6.309148071,7.701937071,0.205132512,0.682616099,0.616556476,17.29713122,1.504305087
125,7.898536753,15.16504538,18.51283626,3.249736161,4.51396573,5.683731792,41.57641839,13.44743368
126,2.80270659,5.381145133,6.56907093,0.592343655,1.018813006,1.169199587,14.75292265,2.780356248
127,0.897361266,1.695234371,2.058599503,3.511608428,7.724879702,8.067475647,4.651195139,19.30396378
128,8.973612661,16.95234371,20.58599503,1.697207559,2.549488808,3.85274581,46.51195139,8.099442178
129,55.05760048,104.0111048,126.3053725,6.164462207,15.43695312,16.85934417,285.3740778,38.46075949
130,2.435694865,4.601350434,5.587627221,9.771710207,44.1810789,43.01196035,12.62467252,96.96474945
131,3.319852101,6.271640642,7.615935902,3.838093559,13.38254221,17.15241815,17.20742865,34.37305391
141,25.54656776,56.63289466,62.53349595,1.840439927,2.728751218,3.388464288,144.7129584,7.957655433
142,17.50547833,43.80927269,49.67199848,7.043065221,9.442565411,17.22839241,110.9867495,33.71402304
143,57.68658009,144.3666417,163.6863423,6.871319733,20.30112408,25.31598077,365.7395641,52.48842458
