TAZ,HBW_P,HBO_P,NHB_P,HBW_A,HBO_A,NHB_A,P,A
101,41.08,82.99,98.26,2.29,7.75,8.11,222.34,18.15
102,35.73,72.18,85.46,15.68,52.78,56.03,193.36,124.50
103,15.84,32.00,37.89,1.77,2.60,5.07,85.74,9.45
104,24.20,48.88,57.88,9.61,42.54,41.90,130.95,94.05
105,6.41,12.96,15.34,2.63,7.92,8.72,34.71,19.27
106,4.96,10.02,11.87,1.06,1.84,3.60,26.85,6.51
107,12.00,24.25,28.71,22.08,71.36,88.32,64.97,181.76
108,2.66,5.38,6.37,0.24,0.70,0.95,14.41,1.88
109,13.66,27.60,32.68,4.89,19.73,21.19,73.95,45.81
110,16.09,32.51,38.49,0.08,0.11,0.14,87.08,0.33
111,25.69,51.90,61.45,1.66,6.50,6.47,139.05,14.63
112,34.49,69.68,82.50,3.92,5.19,7.23,186.68,16.34
113,44.71,90.33,106.95,10.58,39.15,41.45,241.99,91.18
114,4.06,8.20,9.71,1.61,7.87,7.44,21.96,16.92
115,9.27,18.72,22.17,52.62,216.57,253.54,50.16,522.74
116,34.68,70.06,82.94,6.70,19.44,24.77,187.68,50.91
117,1.50,2.85,3.46,20.38,99.99,96.33,7.81,216.70
118,10.64,21.50,25.46,1.70,2.88,3.34,57.61,7.92
119,39.33,87.19,96.27,1.95,5.13,6.19,222.79,13.27
120,61.95,121.76,146.20,3.32,7.02,9.37,329.91,19.71
121,44.08,87.28,104.25,6.37,21.79,25.29,235.61,53.46
122,12.55,27.83,30.72,0.13,0.65,0.61,71.10,1.38
123,22.00,42.24,51.57,0.81,1.65,1.81,115.81,4.27
124,3.87,7.43,9.07,0.54,2.23,2.06,20.37,4.83
125,7.90,15.17,18.51,3.21,4.46,5.60,41.58,13.27
126,3.00,5.76,7.03,0.63,1.24,1.35,15.78,3.23
127,0.90,1.70,2.06,4.53,10.05,10.54,4.65,25.12
128,8.97,16.95,20.59,1.72,2.54,3.84,46.51,8.10
129,55.94,105.68,128.33,6.94,18.16,19.65,289.95,44.76
130,2.53,4.79,5.81,12.49,51.86,51.23,13.13,115.58
131,3.42,6.46,7.84,6.16,18.19,23.18,17.72,47.53
141,25.55,56.63,62.53,1.94,3.03,3.65,144.71,8.62
142,17.51,43.81,49.67,8.68,12.25,20.70,110.99,41.64
143,59.46,148.79,168.71,10.55,26.70,34.95,376.96,72.20
144,23.31,58.34,66.15,10.55,38.12,42.48,147.81,91.15
145,17.01,42.56,48.26,24.51,44.72,95.15,107.83,164.38
146,27.96,69.98,79.34,15.27,31.48,37.52,177.28,84.27
147,47.44,135.20,145.62,2.56,9.99,9.96,328.26,22.51
148,46.27,131.88,142.05,53.75,192.66,207.11,320.21,453.52
149,7.65,21.80,23.48,0.69,2.03,1.92,52.93,4.64
150,11.92,33.98,36.60,0.61,1.47,2.30,82.50,4.37
151,23.55,47.30,54.98,1.54,3.36,4.11,125.83,9.01
152,3.90,7.81,9.07,4.91,5.72,10.27,20.78,20.91
