TAZ,HBW_P,HBO_P,NHB_P,HBW_A,HBO_A,NHB_A,P,A
101,35.6,78.9,81.2,2.2,7.4,16.0,195.7,25.5
102,28.7,63.6,65.5,14.2,50.2,103.7,157.8,168.0
103,14.5,32.0,32.9,1.8,2.7,12.4,79.4,16.9
104,16.8,37.1,38.2,2.3,5.3,15.6,92.1,23.2
105,5.9,13.0,13.3,2.3,6.7,15.9,32.2,24.8
106,4.5,10.0,10.3,1.1,1.9,7.9,24.9,10.9
107,10.7,23.7,24.4,19.0,60.7,147.1,58.8,226.8
108,2.4,5.4,5.5,0.3,0.8,2.0,13.3,3.1
109,12.5,27.6,28.4,4.9,20.0,38.6,68.5,63.6
110,12.0,26.5,27.3,0.1,0.1,0.5,65.8,0.7
111,17.0,37.7,38.8,0.7,1.8,5.0,93.5,7.5
112,26.6,58.8,60.6,3.9,5.2,23.1,146.0,32.2
113,30.6,67.7,69.7,8.6,31.6,63.5,168.0,103.6
114,3.5,7.8,8.1,1.2,5.8,9.5,19.4,16.5
115,2.2,4.9,5.0,28.2,108.5,235.5,12.1,372.2
116,26.1,57.7,59.4,6.4,18.9,47.8,143.2,73.2
117,1.3,2.7,2.8,18.8,92.5,151.7,6.8,263.0
118,9.4,20.8,21.4,1.6,2.6,9.3,51.5,13.4
119,31.1,75.5,72.5,1.8,4.6,12.5,179.2,18.9
120,47.9,100.8,107.0,2.7,4.7,17.3,255.6,24.7
121,32.1,67.6,71.8,4.8,16.2,37.4,171.5,58.4
122,8.8,21.3,20.5,0.1,0.7,1.1,50.6,2.0
123,14.8,31.2,33.1,0.8,1.5,4.8,79.2,7.0
124,3.0,6.3,6.7,0.2,0.7,1.4,16.0,2.3
125,7.2,15.2,16.1,3.2,4.5,18.5,38.5,26.3
126,2.6,5.4,5.7,0.6,1.0,3.5,13.7,5.1
127,0.8,1.7,1.8,3.5,7.7,21.7,4.3,32.9
128,8.2,17.0,17.9,1.7,2.5,10.7,43.0,15.0
129,50.2,104.0,109.8,26.6,97.7,191.9,264.1,316.2
130,2.2,4.6,4.9,9.8,44.1,76.4,11.7,130.3
131,3.0,6.3,6.6,3.8,13.4,30.9,15.9,48.1
141,23.3,56.6,54.4,1.8,2.7,10.7,134.3,15.3
142,16.0,43.8,43.2,7.0,9.4,45.8,103.0,62.3
143,52.6,144.4,142.3,6.9,20.3,50.8,339.3,77.9
144,14.6,39.9,39.4,8.4,29.8,64.5,93.8,102.6
145,10.5,28.7,28.3,16.9,24.0,134.8,67.5,175.8
146,25.3,69.4,68.4,12.8,26.0,81.9,163.2,120.7
147,41.9,130.8,122.5,2.2,8.6,16.7,295.3,27.5
148,29.0,90.6,84.8,42.9,153.5,324.7,204.4,521.1
149,6.0,18.8,17.6,0.5,1.5,3.6,42.5,5.7
150,10.9,34.0,31.8,0.4,0.5,2.6,76.7,3.4
151,20.6,45.2,45.7,1.4,3.0,9.3,111.5,13.7
152,3.1,6.7,6.8,4.9,5.8,31.0,16.5,41.7
153,37.9,83.1,83.9,9.0,27.6,67.2,204.9,103.7
154,0.8,1.7,1.7,0.0,0.0,0.0,4.1,0.0
171,13.4,30.9,31.9,5.6,11.5,35.8,76.1,52.9
172,14.2,32.7,33.7,1.2,1.7,6.9,80.6,9.8
173,27.3,62.9,64.9,8.8,33.6,70.1,155.1,112.4
174,30.7,70.8,73.2,3.5,13.0,25.5,174.7,42.0
175,6.0,13.8,14.3,2.7,3.4,18.8,34.1,24.9
176,31.8,73.4,75.7,1.2,2.8,8.2,180.9,12.1
177,26.7,58.6,59.1,9.3,17.6,56.5,144.3,83.4
178,7.8,17.2,17.4,1.6,5.4,11.9,42.5,18.9
179,0.4,1.0,1.0,0.7,1.0,4.0,2.4,5.7
180,5.3,11.8,11.8,1.1,2.0,6.4,28.8,9.5
181,8.1,18.2,18.7,0.9,1.2,5.0,45.0,7.2
182,22.4,50.6,51.9,4.8,23.4,38.9,125.0,67.1
183,27.4,61.7,63.3,5.2,15.4,38.7,152.4,59.2
184,27.2,61.3,62.9,18.6,61.6,143.9,151.3,224.1
185,11.3,25.6,26.2,3.0,4.3,18.8,63.2,26.1
186,13.7,30.9,31.7,2.1,7.5,17.2,76.2,26.9
201,30.3,63.8,67.8,26.9,93.5,202.0,162.0,322.4
202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,30.4,80.0,75.6,2.3,5.2,14.5,186.0,22.1
204,6.8,17.8,16.8,1.2,1.7,8.8,41.3,11.6
205,3.5,9.1,8.6,0.0,0.0,0.0,21.2,0.0
206,3.7,7.8,8.3,19.5,41.7,124.9,19.9,186.1
207,9.0,23.7,22.4,4.8,9.2,29.6,55.0,43.6
208,20.7,54.5,51.5,20.4,72.2,163.1,126.8,255.7
209,21.9,57.5,54.3,5.6,18.4,38.8,133.7,62.8
210,23.0,60.4,57.1,3.5,10.2,24.5,140.4,38.3
211,0.6,1.5,1.4,0.0,0.0,0.0,3.4,0.0
212,2.2,5.7,5.4,0.0,0.0,0.0,13.2,0.0
213,11.7,24.7,26.2,21.4,92.6,171.3,62.7,285.3
214,18.7,39.4,41.8,18.8,70.0,150.5,99.9,239.2
215,10.8,22.7,24.1,84.5,286.0,592.1,57.7,962.6
216,0.0,0.0,0.0,10.0,49.8,79.9,0.0,139.7
