,Type,Item,NumObs,TotCnt,TotMod,AvgCnt,AvgMod,Tstat,AvgErr,PctErr,PctRMSE,MAPE,CorrCoef,SumSqErr,MeanSqErr,Miles,kVMT,kVHT_FF,kVHT_CTime
0,Areawide,All,385,1769218.156736,2122754.6151079545,4595.371835677922,5513.648350929752,2.185339412517373,918.2765152518305,19.982637925454487,54.128224962149204,59.955696959923365,0.9336911645101661,2382043108.288512,6187124.956593539,113.81619476098601,587.5683430546359,872.6041047262813,980.3836089872815
1,Freeways,All,9,234867.3111,264780.7442220849,26096.367899999997,29420.082691342763,0.7887559269208239,3323.7147913427652,12.73631182729749,20.445246435154573,12.421565172873532,0.9316468676484981,256204846.82918563,28467205.20324285,5.374999999999999,170.69696132352425,166.97332512795225,180.81794837859854
2,Non-Freeways,All,376,1534350.845636,1857973.87088587,4080.720334138298,4941.419869377313,2.6130129799843806,860.6995352390154,21.091853025031288,58.26856934909039,61.09348202929424,0.8945975367341181,2125838261.4593267,5653825.163455656,108.44119476098601,416.8713817311116,705.630779598329,799.565660608683
3,Urban,All,247,1304617.751631,1545939.9538000464,5281.853245469636,6258.866209716787,1.8751161521263022,977.0129642471511,18.49754089788763,50.65534082697926,61.25895785108841,0.9201040574039294,1768154039.1210775,7158518.377008411,46.16856645907733,347.80053403701316,564.1040688000319,646.2036213169341
4,Rural,All,138,464600.405105,576814.6613079085,3366.669602210145,4179.8163862891915,1.1851312107781249,813.1467840790465,24.152853714698747,62.64766797879461,57.623048843127975,0.9537994600342199,613889069.1674345,4448471.5157060465,67.64762830190867,239.7678090176227,308.50003592624944,334.1799876703473
5,Interstates,All,6,166779.66,180326.65997087286,27796.61,30054.44332847881,0.5417318384109994,2257.8333284788096,8.122693121495065,14.87294086284173,8.765651999403428,0.9264458239228134,102548336.5791421,17091389.429857016,4.5169999999999995,141.80009140221728,133.70876703149366,145.3995146562246
6,Non-Interstate Freeway,All,3,68087.6511,84454.084251212,22695.883700000002,28151.361417070668,0.5057711018022896,5455.477717070666,24.037300283974687,31.533179141551326,19.733391519813736,0.9935395850615504,153656510.25004354,51218836.750014514,0.8580000000000001,28.89686992130696,33.264558096458565,35.4184337223739
7,Principal Arterial,All,16,195095.02525,224123.78652792552,12193.439078125,14007.736657995345,0.7476164916830079,1814.2975798703446,14.879293431868536,29.01259690540464,20.64610173429598,0.9114879872872482,200237593.08675474,12514849.567922171,3.2569999999999997,47.833466606407356,74.92660656289209,89.03152784988346
8,Minor Arterial,All,139,749258.5644670001,846845.0317931352,5390.349384654677,6092.410300670038,1.2834843882048586,702.0609160153608,13.024404652024929,48.864702469636974,47.68824816560511,0.8501488938340147,964359912.833849,6937841.099524093,25.644,145.51234987177935,263.53578788609576,306.72851054086885
9,Major Collector,All,145,440657.99789,545977.6352565859,3039.0206751034484,3765.3630017695577,1.7524699892142024,726.3423266661093,23.900539164360392,71.02806453984131,57.80069088799541,0.8948799936552622,675608761.3394289,4659370.76785813,52.065006664672666,159.1224524893937,264.3492326914828,298.0636995739178
10,Minor Collector,All,25,32121.02,53097.25808725844,1284.8408,2123.8903234903373,2.3295346481973906,839.0495234903374,65.30377331497702,117.00695475160545,103.87349453211618,0.5907102432389945,56501763.09236058,2260070.523694423,15.911188096313332,34.94534257402917,49.92789508318555,50.81401202661714
11,Local Road or Street,All,25,29204.555,42008.61028196785,1168.1822,1680.344411278714,1.4887618484426983,512.162211278714,43.84266523481646,102.99823159538387,130.07321921361105,0.6259205236169672,36192677.59120068,1447707.1036480272,8.112,10.782245000654267,20.876071336648078,21.550314509800256
12,Ramps,All,26,88013.68302899999,145921.54893899686,3385.1416549615383,5612.367266884495,2.9724636628051155,2227.2256119229564,65.79416281320322,80.47201252367417,68.55296530170284,0.9476288268422208,192937553.51573247,7420675.135220479,3.452,18.67552518884778,32.01518603802478,33.377596107595444
13,Urban Interstates,All,2,65306.659999999996,79402.4579554165,32653.329999999998,39701.22897770825,12.268927587731731,7047.89897770825,21.58401295582487,21.685011249647456,21.592060088345104,-1.0,100277674.54237439,50138837.27118719,2.145,85.16082080715205,85.16082080715204,95.33610935688961
14,Urban Non-Interstate Freeway,All,3,68087.6511,84454.084251212,22695.883700000002,28151.361417070668,0.5057711018022896,5455.477717070666,24.037300283974687,31.533179141551326,19.733391519813736,0.9935395850615504,153656510.25004354,51218836.750014514,0.8580000000000001,28.89686992130696,33.264558096458565,35.4184337223739
15,Urban Principal Arterial,All,14,153214.83393000002,173337.94876282333,10943.916709285715,12381.282054487381,0.667047512765222,1437.365345201666,13.133920728600645,26.9992591488541,20.844362897203066,0.892152958765259,122229852.79717913,8730703.77122708,2.8179999999999996,34.98819118730921,59.35940180004388,71.94499385280405
16,Urban Minor Arterial,All,120,701111.951192,783498.5176273922,5842.5995932666665,6529.154313561602,1.1300717908455509,686.5547202949356,11.750843256247768,47.90884007206411,49.43727823889227,0.8391179137474998,940209871.7374604,7835082.264478836,19.467,125.45434647715531,237.53378356257986,280.15980808929913
17,Urban Major Collector,All,76,227500.71999999997,272692.25183562667,2993.430526315789,3588.055945205614,1.5030792456406286,594.6254188898251,19.86434673069462,61.08923507360836,64.64770005962971,0.7672783853220686,254144861.35440466,3344011.3336105878,15.62256645907733,50.840264517513724,108.23983687122058,120.90264961855969
18,Urban Minor Collector,All,1,2239.65,5815.123110190091,2239.65,5815.123110190091,,3575.473110190091,159.6442796950457,159.6442796950457,159.6442796950457,0.0,12784007.961692404,12784007.961692404,0.45199999999999996,2.628435645805921,3.942653468708882,4.1036116033601395
