,Type,Item,NumObs,TotCnt,TotMod,AvgCnt,AvgMod,Tstat,AvgErr,PctErr,PctRMSE,MAPE,CorrCoef,SumSqErr,MeanSqErr,Miles,kVMT,kVHT_FF,kVHT_CTime
0,Areawide,All,383,427797.0252077,515909.39452508575,1116.9635122916447,1347.0219178200673,2.3806457805066943,230.05840552842255,20.596769992639935,52.46441835587389,60.45639166593884,0.9289532981589385,131524443.06129918,343405.8565569169,112.864194760986,141.81336661897342,213.21448934262898,239.43584875503916
1,Freeways,All,9,52076.5707,61978.15806750914,5786.285633333333,6886.462007501015,1.1537695632646858,1100.1763741676823,19.013516509275718,24.355371042168933,18.082643336106834,0.9407214274869227,17874411.275030077,1986045.6972255642,5.374999999999999,39.82555983187344,38.94991795356277,42.17326160813587
2,Non-Freeways,All,374,375720.4545077,453931.2364575766,1004.6001457425134,1213.7198835764082,2.7324501248361215,209.11973783389476,20.816216155267583,54.87262580045067,61.476080796870626,0.8877732578496415,113650031.78626913,303877.09033761796,107.48919476098601,101.98780678709998,174.26457138906622,197.2625871469033
3,Urban,All,247,318604.5380357,378593.92755267204,1289.8969151242914,1532.7689374602107,2.020678244764307,242.87202233591938,18.82879317627617,50.093716123506155,59.65936826070121,0.9082970131539444,103127255.98106447,417519.25498406665,46.16856645907733,84.09235284963165,138.36301264057278,158.84168630587254
4,Rural,All,136,109192.487172,137315.4669724137,802.8859350882352,1009.6725512677478,1.3301724229538545,206.78661617951263,25.75541644739203,56.913377195589995,61.90392682103955,0.9633327675232627,28397187.08023472,208802.8461781965,66.69562830190867,57.721013769341766,74.85147670205625,80.59416244916659
5,Interstates,All,6,36838.551,42262.47762190899,6139.7585,7043.746270318165,0.9286814996115296,903.9877703181655,14.72350696396553,18.608901191197756,14.245012160288677,0.9336403039767809,7832407.745517485,1305401.2909195807,4.5169999999999995,33.1295414553858,31.216440319270113,33.93296054488093
6,Non-Interstate Freeway,All,3,15238.0197,19715.680445600152,5079.3399,6571.893481866718,0.6238280595716634,1492.5535818667176,29.384794308936044,36.019881647390534,25.757905687743143,0.9940979206886275,10042003.529512592,3347334.5098375306,0.8580000000000001,6.696018376487638,7.733477634292646,8.240301063254934
7,Principal Arterial,All,16,45974.801606,52276.31710689157,2873.425100375,3267.269819180723,0.7007487843560888,393.844718805723,13.70645501615211,28.740038561404198,24.525614459103487,0.8965001648150722,10911750.771612767,681984.423225798,3.2569999999999997,11.15125396212575,17.485077389597812,20.831955912334916
8,Minor Arterial,All,138,185594.51742500003,208208.81358665728,1344.8878074275365,1508.7595187438933,1.2709082037935044,163.87171131635682,12.184786746621342,45.97877036826604,45.702652180432594,0.8448932149560708,52767425.32267399,382372.64726575353,25.04,35.19649663047891,64.56289009052982,75.57343181744511
9,Major Collector,All,144,108306.54048,135047.59276785963,752.1287533333333,937.8305053323586,2.015253341628162,185.7017519990253,24.690154601325922,63.988251841252755,59.678080538015244,0.8784917598950235,33353957.145508964,231624.70239936782,51.71700666467267,39.411232828941415,66.25500727700334,74.15696988484403
10,Minor Collector,All,25,8203.039999999999,13782.679938847981,328.12159999999994,551.3071975539192,2.4404907115468575,223.18559755391925,68.01917263414518,119.34468982083736,113.44433113950043,0.5680752329450561,3833679.919147216,153347.19676588863,15.911188096313332,8.990962939870204,12.87131655592877,13.103697097663053
11,Local Road or Street,All,25,7189.915,10809.992771938438,287.5966,432.39971087753753,1.7007550943666672,144.8031108775375,50.34938204329867,105.03659263632738,120.12652331155569,0.6368196388811201,2281333.371333078,91253.33485332312,8.112,2.88342225149597,5.625528920256101,5.816049183263572
12,Ramps,All,26,20451.6399967,33805.840285381695,786.6015383346154,1300.2246263608345,2.9817611681107823,513.6230880262191,65.296476423585,80.79642947671775,71.52936257821777,0.920038926904474,10501885.255993107,403918.6636920426,3.452,4.354438174187722,7.464751155750381,7.780483251352571
13,Urban Interstates,All,2,14886.92,18403.292141954553,7443.46,9201.646070977276,5.490249510781429,1758.1860709772764,23.62054838713819,24.238585578182107,23.882434334385497,-1.0,6510198.94147452,3255099.47073726,2.145,19.737833502576006,19.73783350257601,22.095919382121085
