,Type,Item,NumObs,TotCnt,TotMod,AvgCnt,AvgMod,Tstat,AvgErr,PctErr,PctRMSE,MAPE,CorrCoef,SumSqErr,MeanSqErr,Miles,kVMT,kVHT_FF,kVHT_CTime
0,Areawide,All,383,152160.96382200002,177375.9122908776,397.2871118067886,463.1224863991582,1.9816826660535245,65.83537459236965,16.5712334067326,48.521490557779536,57.76175529334948,0.9288871653555126,14232329.655911835,37160.12964990035,112.864194760986,48.52837297688295,73.23884542339964,81.80575285179839
1,Freeways,All,9,17732.5642,20912.12192572473,1970.2849111111111,2323.5691028583033,1.0626860684933013,353.28419174719215,17.93061448904682,22.054882523732957,16.828788964366765,0.9684334125245739,1699456.5676363998,188828.50751515554,5.374999999999999,13.501260461099369,13.195277366360804,14.253468773011924
2,Non-Freeways,All,374,134428.399622,156463.79036515288,359.4342235882353,418.35238065548896,2.213751987125126,58.918157067253674,16.39191629530242,50.929579880533,58.746773199661895,0.8892559073668832,12532873.088275433,33510.35585100383,107.48919476098601,35.027112515783585,60.04356805703884,67.55228407878647
3,Urban,All,247,112924.62529170001,130654.40153778877,457.184717780162,528.9651884121002,1.730116115586176,71.78047063193827,15.700540250003288,47.32135673396544,59.3629605430376,0.9065981180590595,11560982.354476761,46805.59657682899,46.16856645907733,28.911492996736,47.76590978117225,54.375870254627266
4,Rural,All,136,39236.3385303,46721.51075308886,288.50248919338236,343.5405202433005,1.0404495745172786,55.03803104991812,19.077142524419013,48.57873017298793,54.85368399428355,0.9677460923687964,2671347.301435072,19642.25956937553,66.69562830190867,19.616879980146958,25.472935642227405,27.429882597171122
5,Interstates,All,6,12457.012,14348.134238592876,2076.168666666667,2391.3557064321462,0.9248027570654517,315.1870397654793,15.181186616765526,17.949943731457637,14.715545178203085,0.9624247275353139,833302.5259091195,138883.75431818658,4.5169999999999995,11.26196968124267,10.615087075404576,11.50758637984737
6,Non-Interstate Freeway,All,3,5275.5522,6563.98768713185,1758.5174,2187.995895710617,0.5140460314383023,429.4784957106169,24.422760656824718,30.55556164120404,21.05527653669413,0.9945324522814791,866154.0417272804,288718.01390909345,0.8580000000000001,2.2392907798567006,2.5801902909562275,2.7458823931645537
7,Principal Arterial,All,16,16125.015126999999,17662.20453796778,1007.8134454374999,1103.8877836229863,0.5006784347364802,96.07433818548634,9.532948644456683,26.42811757258841,34.602595667028204,0.8883750041329107,1135044.1095942135,70940.25684963835,3.2569999999999997,3.7834812087647385,5.956248311517001,6.96276074746326
8,Minor Arterial,All,138,66157.21416830001,72327.39323511039,479.40010266884065,524.1115451819593,0.9926560845818505,44.71144251311864,9.326540037060514,44.28051462248069,42.8946626959637,0.8452613632746949,6218714.958530942,45063.15187341262,25.04,12.154386708006129,22.41012727333208,26.021262978613926
9,Major Collector,All,144,39111.623725,46433.05669027755,271.60849809027775,322.4517825713719,1.5666952661458635,50.843284481094145,18.719327575750135,56.36840349424486,56.735651799703625,0.8863352713814611,3375364.429431189,23440.03075993881,51.71700666467267,13.513109703626233,22.761586851602548,25.411391265777702
10,Minor Collector,All,25,2942.015,4742.159787447266,117.6806,189.68639149789067,2.312325298279095,72.00579149789067,61.18747822316564,111.70821676878681,102.12481690515358,0.5580679289358638,432036.0580397473,17281.442321589893,15.911188096313332,3.103504933009716,4.441592168684044,4.518371345610394
11,Local Road or Street,All,25,2632.7200000000003,3770.739376176493,105.3088,150.8295750470597,1.4997549526055034,45.5207750470597,43.225993503923405,98.98661626262486,123.63072587235536,0.6348228816363678,271657.87176161946,10866.31487046478,8.112,0.9940283187828223,1.9392677771706932,2.002721548289791
12,Ramps,All,26,7459.811601699999,11528.2367381734,286.91583083461535,443.39372069897695,2.6513311024088675,156.4778898643616,54.53790730514237,71.69124866286849,64.78329866781016,0.8964512318369017,1100055.660917723,42309.83311222012,3.452,1.4786016435939466,2.5347456747324797,2.635776193031397
13,Urban Interstates,All,2,5139.8009999999995,6278.6085322869985,2569.9004999999997,3139.3042661434993,5.4191591851164045,569.4037661434995,22.156646381581684,22.49258486612584,22.352049434463016,1.0000000000000002,668253.6645130261,334126.83225651307,2.145,6.733791440376017,6.7337914403760175,7.505006980339034
14,Urban Non-Interstate Freeway,All,3,5275.5522,6563.98768713185,1758.5174,2187.995895710617,0.5140460314383023,429.4784957106169,24.422760656824718,30.55556164120404,21.05527653669413,0.9945324522814791,866154.0417272804,288718.01390909345,0.8580000000000001,2.2392907798567006,2.5801902909562275,2.7458823931645537
15,Urban Principal Arterial,All,14,12761.18036,13736.930236144424,911.5128828571429,981.2093025817446,0.3963709233315757,69.6964197246017,7.646235290294287,27.65447983919742,37.36232902913655,0.862543466552581,889579.254117195,63541.37529408536,2.8179999999999996,2.809547138441536,4.767571787009019,5.650759565052796
