,Type,Item,NumObs,TotCnt,TotMod,AvgCnt,AvgMod,Tstat,AvgErr,PctErr,PctRMSE,MAPE,CorrCoef,SumSqErr,MeanSqErr,Miles,kVMT,kVHT_FF,kVHT_CTime
0,Areawide,All,385,1769218.156736,2077897.0774779224,4595.371835677922,5397.135266176422,1.9211905719964544,801.7634304985004,17.44719381081862,52.38023636218455,57.96946725978477,0.9337657635164294,2230678356.693651,5793969.757645847,113.81619476098601,577.3945948057599,855.2260629048391,956.396240158878
1,Freeways,All,9,234867.3111,262115.77565501758,26096.367899999997,29123.975072779733,0.7226014120207613,3027.6071727797353,11.601641977080403,19.170560811479216,11.093830389945383,0.9392521698921206,225253878.58266783,25028208.731407538,5.374999999999999,169.18460960560157,165.3326292416893,178.5612206738758
2,Non-Freeways,All,376,1534350.845636,1815781.301822905,4080.720334138298,4829.205589954535,2.292073196479372,748.485255816237,18.34198853458774,56.59426203139691,59.09149048273306,0.8936771570614519,2005424478.1109834,5333575.73965687,108.44119476098601,408.2099852001583,689.8934336631498,777.835019485002
3,Urban,All,247,1304617.751631,1508148.1701015758,5281.853245469636,6105.863036848485,1.5937686707782697,824.0097913788486,15.600770280499942,48.98708606874066,59.00098538115589,0.9195570167294698,1653609000.5508976,6694773.281582582,46.16856645907733,340.4797453079077,550.8591478127648,626.4877562165302
4,Rural,All,138,464600.405105,569748.907376347,3366.669602210145,4128.615270843095,1.1146113144929333,761.9456686329495,22.632029829501203,60.739885016582285,56.12319931791036,0.9553411880331126,577069356.1427532,4181662.0010344437,67.64762830190867,236.9148494978522,304.3669150920743,329.9084839423476
5,Interstates,All,6,166779.66,179375.31683486624,27796.61,29895.886139144375,0.5125682378659574,2099.2761391443746,7.552273961264969,13.915953013467028,8.280313007959213,0.9310207817128094,89776118.64463268,14962686.440772114,4.5169999999999995,140.77997015342834,132.68864578270197,143.84528464413373
6,Non-Interstate Freeway,All,3,68087.6511,82740.45882015138,22695.883700000002,27580.152940050462,0.4528484484307453,4884.26924005046,21.520506998590495,29.609173095237264,16.720865153917718,0.994204024958123,135477759.9380352,45159253.3126784,0.8580000000000001,28.404639452173214,32.6439834589873,34.715936029742096
7,Principal Arterial,All,16,195095.02525,220187.08038475044,12193.439078125,13761.692524046903,0.6536825603433428,1568.2534459219023,12.861453080413918,27.66338768633155,19.474178337522613,0.9094794454947565,182046835.69490832,11377927.23093177,3.2569999999999997,46.95963975131002,73.55606149519986,86.09154731745696
8,Minor Arterial,All,139,749258.5644670001,825284.0696929223,5390.349384654677,5937.295465416707,1.0067489693681968,546.9460807620299,10.146764926204668,47.81628644583903,46.54514117615324,0.8492884631716217,923422219.7666953,6643325.322062556,25.644,142.4540314921434,257.5181647724824,297.4443595117379
9,Major Collector,All,145,440657.99789,533542.6243968534,3039.0206751034484,3679.6043061851956,1.5585014122422616,640.5836310817472,21.078620370358014,68.74617792433651,55.37611324865638,0.8957282665094659,632896111.063367,4364800.765954255,52.065006664672666,155.60531855456682,257.9902669257796,290.7190416930591
10,Minor Collector,All,25,32121.02,51994.48801082628,1284.8408,2079.7795204330514,2.2472611653957464,794.9387204330515,61.87060065597633,113.41336335989739,100.31326721230735,0.5871002790656612,53084423.69807032,2123376.947922813,15.911188096313332,34.32751418500091,49.034041547037084,49.87494158715452
11,Local Road or Street,All,25,29204.555,41149.23467027128,1168.1822,1645.9693868108513,1.403834341745187,477.7871868108514,40.900057098186515,100.28891207748408,127.82966137884031,0.6285097548099069,34313657.96188631,1372546.3184754523,8.112,10.455188750867624,20.237826123331573,20.87737393356554
12,Ramps,All,26,88013.68302899999,143623.80466728134,3385.1416549615383,5523.992487203128,2.8814965325568234,2138.8508322415896,63.1834957070915,77.65396994707598,65.53574264569608,0.9483457675148301,179661229.926056,6910047.304848308,3.452,18.40829246626955,31.55707279931923,32.827755442028035
13,Urban Interstates,All,2,65306.659999999996,78451.11481938144,32653.329999999998,39225.55740969072,10.302949271791617,6572.227409690724,20.12728076949801,20.25699833626837,20.136043114005176,-1.0000000000000002,87505456.60782224,43752728.30391112,2.145,84.14069955834378,84.14069955834378,93.78187934477998
14,Urban Non-Interstate Freeway,All,3,68087.6511,82740.45882015138,22695.883700000002,27580.152940050462,0.4528484484307453,4884.26924005046,21.520506998590495,29.609173095237264,16.720865153917718,0.994204024958123,135477759.9380352,45159253.3126784,0.8580000000000001,28.404639452173214,32.6439834589873,34.715936029742096
15,Urban Principal Arterial,All,14,153214.83393000002,169923.6921859731,10943.916709285715,12137.406584712366,0.562075663416211,1193.4898754266505,10.905509491076408,25.959241803826234,19.66610236606686,0.8876319254920371,112994577.20853534,8071041.229181096,2.8179999999999996,34.296176781298215,58.18719758589866,69.21620841050536
16,Urban Minor Arterial,All,120,701111.951192,762988.2471690048,5842.5995932666665,6358.23539307504,0.8538130963628523,515.6357998083731,8.825451608948526,46.91716630434923,48.24991727136367,0.8386898632243581,901689561.1623409,7514079.676352841,19.467,122.5999747942651,231.79640670602205,271.1828446811883
17,Urban Major Collector,All,76,227500.71999999997,264294.1084302361,2993.430526315789,3477.5540582925805,1.2389797092752082,484.1235319767916,16.172866806855012,58.449372556729756,61.31251444551362,0.7718593999607927,232654611.68244028,3061244.890558425,15.62256645907733,49.048559584503394,104.39279234614372,116.12288784289564
18,Urban Minor Collector,All,1,2239.65,5599.452395545064,2239.65,5599.452395545064,,3359.802395545064,150.01461815663447,150.01461815663447,150.01461815663447,0.0,11288272.13711035,11288272.13711035,0.45199999999999996,2.5309524827863688,3.7964287241795533,3.9368377228727813
19,Urban Local Road or Street,All,16,20663.539999999997,35153.69236169694,1291.4712499999998,2197.105772606059,2.093615840132495,905.6345226060591,70.12424958016365,108.19136456807661,163.5567633986596,0.6279708882924443,31237384.592699595,1952336.5370437247,3.142,6.893459806419959,14.361154550702368,14.93599483372247
20,Urban Ramps,All,15,66492.745409,108997.40391958666,4432.849693933333,7266.493594639111,3.377744861725507,2833.643900705778,63.92375325930449,69.10558032284717,66.05461809152953,0.9393064212711686,140761377.2219138,9384091.814794254,1.6639999999999997,12.565282848117619,21.540484882487352,22.59516735082363
21,Rural Interstates,All,4,101473.0,100924.20201548479,25368.25,25231.050503871196,-0.03639682858427187,-137.19949612880373,-0.540831535990081,2.969995182851358,2.352447954936233,0.9926258168803836,2270662.036810433,567665.5092026083,2.372,56.63927059508455,48.547946224358185,50.06340529935373
22,Rural Non-Interstate Freeway,All,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Rural Principal Arterial,All,2,41880.19132,50263.38819877728,20940.09566,25131.69409938864,0.6233371641634589,4191.598439388639,20.01709308040783,28.060492203774007,18.13071013771286,0.9999999999999999,69052258.48637296,34526129.24318648,0.4389999999999999,12.663462970011809,15.368863909301188,16.87533890695159
24,Rural Minor Arterial,All,19,48146.613275,62295.82252391746,2534.0322776315793,3278.7275012588134,1.266221415272065,744.6952236272341,29.387756036133045,42.205348037302585,35.77813425903466,0.9464763790698083,21732658.604354355,1143824.137071282,6.177,19.85405669787831,25.721758066460378,26.261514830549576
25,Rural Major Collector,All,69,213157.27789,269248.5159666172,3089.235911449275,3902.152405313293,1.081611577895001,812.9164938640179,26.314484136714846,77.96244277887257,48.83746845211799,0.9442009430548303,400241499.38092667,5800601.440303285,36.44244020559534,106.5567589700634,153.59747457963593,174.59615385016352
26,Rural Minor Collector,All,24,29881.37,46395.03561528122,1245.0570833333334,1933.1264839700507,2.066052661308119,688.0694006367173,55.264084663056664,105.99204303297951,98.24237758962707,0.5587940818010644,41796151.560959965,1741506.3150399986,15.459188096313333,31.796561702214543,45.23761282285754,45.93810386428173
