,Statistics
Population,"163,664"
Total Employment,"85,076"
Housing Units (HU),"70,550"
Person Trips (PrT),"769,949"
Vehicle Trips (PrT),"468,312"
Daily VMT,"4,150,007"
Daily Per Capita VMT,25.36
Daily VMT Per HU,58.82
PM Peak Hr VMT,"339,462"
PM Peak Hr VMT Per HU,4.81
Daily VHT,"93,814"
Daily Per Capita VHT,0.57
Daily VHT Per HU,1.33
PM Peak Hr VHT,"8,098"
PM Peak Hr VHT Per HU,0.11
Daily VHD,"5,918"
Daily Per Capita VHD,0.04
Daily VHD Per HU,0.08
PM Peak Hr VHD,795
PM Peak Hr VHD Per HU,0.01
