ZONE,HHSIZE,INCOME,WORKERS,TOTHH
10,1,1,0,0.11906373539224699
10,1,1,1,0.05874810758962589
10,1,1,2,0.0
10,1,1,3,0.0
10,1,2,0,0.07714373508822311
10,1,2,1,0.08539353293848752
10,1,2,2,0.0
10,1,2,3,0.0
10,1,3,0,0.04710559595809136
10,1,3,1,0.0677613385287953
10,1,3,2,0.0
10,1,3,3,0.0
10,1,4,0,0.04028937153998629
10,1,4,1,0.07901895028051946
10,1,4,2,0.0
10,1,4,3,0.0
10,2,1,0,0.04059348032893998
10,2,1,1,0.013629103515870562
10,2,1,2,0.005039503023040837
10,2,1,3,0.0
10,2,2,0,0.05324407848797965
10,2,2,1,0.040104421749567166
10,2,2,2,0.02151147677721278
10,2,2,3,0.0
10,2,3,0,0.05180449049868168
10,2,3,1,0.05070765242804313
10,2,3,2,0.04848123591207042
10,2,3,3,0.0
10,2,4,0,0.08946194258072675
10,2,4,1,0.11939213315171565
10,2,4,2,0.18632888519970714
10,2,4,3,0.0
10,3,1,0,0.026001480742382056
10,3,1,1,0.03476994930572843
10,3,1,2,0.019450124829828063
10,3,1,3,0.0029593021725641887
10,3,2,0,0.02324393582307473
10,3,2,1,0.06973095056345063
10,3,2,2,0.056585019283082745
10,3,2,3,0.006454930602022952
10,3,3,0,0.017799453568832144
10,3,3,1,0.06939173432307813
10,3,3,2,0.1003704416912925
10,3,3,3,0.022645649500487745
10,3,4,0,0.035816085996612713
10,3,4,1,0.19037524954130977
10,3,4,2,0.4494825903440722
10,3,4,3,0.17542246001601647
10,4,1,0,0.0019682763018086832
10,4,1,1,0.00952726974473405
10,4,1,2,0.006060899285603753
10,4,1,3,0.0010692507676265239
10,4,2,0,0.001780729852406496
10,4,2,1,0.019337057056576807
10,4,2,2,0.017844999157084696
10,4,2,3,0.002360381620830808
10,4,3,0,0.0013466480018640016
10,4,3,1,0.01900341202309826
10,4,3,2,0.031259350368107064
10,4,3,3,0.00817776219755834
10,4,4,0,0.0029906013288816427
10,4,4,1,0.057539661803714906
10,4,4,2,0.1544969693859297
10,4,4,3,0.06991459883080689
20,1,1,0,0.021032773491465
20,1,1,1,0.0103779344391817
20,1,1,2,0.0
20,1,1,3,0.0
20,1,2,0,0.011506186056349236
20,1,2,1,0.012736664576527905
20,1,2,2,0.0
20,1,2,3,0.0
20,1,3,0,0.006307971313988317
20,1,3,1,0.009074008532178882
20,1,3,2,0.0
20,1,3,3,0.0
20,1,4,0,0.004632517595930547
20,1,4,1,0.009085688448209337
20,1,4,2,0.0
20,1,4,3,0.0
20,2,1,0,0.014530013880006475
20,2,1,1,0.004878395783089917
20,2,1,2,0.0018038376675210807
20,2,1,3,0.0
20,2,2,0,0.016091433885081188
20,2,2,1,0.01212036473179385
20,2,2,2,0.006501201939463098
20,2,2,3,0.0
20,2,3,0,0.014056503790048304
20,2,3,1,0.013758890429727883
20,2,3,2,0.013154780015867272
20,2,3,3,0.0
20,2,4,0,0.02084287428554078
20,2,4,1,0.027816020423637212
20,2,4,2,0.04341096803792328
20,2,4,3,0.0
20,3,1,0,0.014827357887230722
20,3,1,1,0.019827581636017028
20,3,1,2,0.011091443778165105
20,3,1,3,0.0016875435996822699
20,3,2,0,0.011191519237686834
20,3,2,1,0.033574145128998895
20,3,2,2,0.027244625724824046
20,3,2,3,0.0031079280445594206
20,3,3,0,0.007694360406236762
