ZONE,HHSIZE,INCOME,TOTHH
10,1,1,0.17781184298187286
10,1,2,0.16253726802671062
10,1,3,0.11486693448688666
10,1,4,0.11930832182050574
10,2,1,0.05926208686785138
10,2,2,0.1148599770147596
10,2,3,0.1509933788387952
10,2,4,0.39518296093214955
10,3,1,0.08318085705050274
10,3,2,0.15601483627163107
10,3,3,0.2102072790836905
10,3,4,0.8510963858980112
10,4,1,0.01862569609977301
10,4,2,0.04132316768689881
10,4,3,0.059787172590627664
10,4,4,0.28494183134933315
20,1,1,0.031410707930646695
20,1,2,0.02424285063287714
20,1,3,0.0153819798461672
20,1,4,0.013718206044139885
20,2,1,0.021212247330617474
20,2,2,0.034713000556338136
20,2,3,0.040970174235643454
20,2,4,0.09206986274710127
20,3,1,0.04743392690109512
20,3,2,0.0751182181360692
20,3,3,0.09086855161197123
20,3,4,0.31590316628800774
20,4,1,0.01290327883764072
20,4,2,0.024171013674715563
20,4,3,0.03139754930621812
20,4,4,0.12848526492075102
30,1,1,0.07428688391469171
30,1,2,0.07533305075540446
30,1,3,0.057747505085424825
30,1,4,0.06755319543979012
30,2,1,0.016067331805971186
30,2,2,0.034547504981070655
30,2,3,0.04926193443229649
30,2,4,0.14520739503367613
30,3,1,0.019119125729157437
30,3,2,0.03978246409675988
30,3,3,0.058140548653395165
30,3,4,0.2651228054128424
30,4,1,0.003486819550179664
30,4,2,0.008582063166765028
30,4,3,0.013468266828883508
30,4,4,0.07229310411369129
40,1,1,23.056268973316175
40,1,2,21.075665754130135
40,1,3,14.894412505132967
40,1,4,15.470312396058912
40,2,1,7.684317263864731
40,2,2,14.893510352913825
40,2,3,19.578808122763775
40,2,4,51.24205726753537
40,3,1,10.78578446421519
40,3,2,20.229923769888156
40,3,3,27.25687718785186
40,3,4,110.35883137144215
40,4,1,2.4151319276039005
40,4,2,5.3582374100678765
40,4,3,7.752403379251384
40,4,4,36.94745746496355
50,1,1,31.70411425602228
50,1,2,15.064627380389911
50,1,3,3.842880516680205
50,1,4,1.670142020971762
50,2,1,3.924230771124797
50,2,2,4.5851832820514
50,2,3,2.7292911670614406
50,2,4,3.124652275503484
50,3,1,0.6606258445884892
50,3,2,0.5313145536824231
50,3,3,0.3503811789590826
50,3,4,0.4958590994976773
50,4,1,0.0617841122644413
50,4,2,0.0850942778762658
50,4,3,0.0560244062992716
50,4,4,0.1137948570270782
60,1,1,8.77205092043906
60,1,2,8.018505222651056
60,1,3,5.666768768019741
60,1,4,5.885877209811616
60,2,1,2.9235962854806683
60,2,2,5.66642553272814
60,2,3,7.44900668938056
60,2,4,19.495692739319374
60,3,1,4.103588947824803
60,3,2,7.696731922733799
60,3,3,10.37022576812873
60,3,4,41.987421704301894
60,4,1,0.9188676742554686
60,4,2,2.0386096058870073
60,4,3,2.9495005144709636
60,4,4,14.057130346567105
70,1,1,11.617040408149027
70,1,2,10.619101511078425
70,1,3,7.504639719809932
70,1,4,7.794810358939712
70,2,1,3.87178967536629
70,2,2,7.504185164964293
70,2,3,9.864900750801288
70,2,4,25.818620114233767
70,3,1,5.434482660632846
70,3,2,10.192969303079893
70,3,3,13.733542233467782
70,3,4,55.604963878670084
70,4,1,1.216878811851836
70,4,2,2.6997802888773874
70,4,3,3.9060952759210075
70,4,4,18.616199648156442
80,1,1,0.023590459514271852
80,1,2,0.016381112142331344
80,1,3,0.009796920280129767
80,1,4,0.007789140223936232
80,2,1,0.017811101023937854
80,2,2,0.02622389889244172
80,2,3,0.02917363571932214
80,2,4,0.05844604191899157
80,3,1,0.1423758166711688
80,3,2,0.2028586110725204
80,3,3,0.23130201392675137
80,3,4,0.7168605017613398
80,4,1,0.04214294479062152
80,4,2,0.07102654389270659
80,4,3,0.08696394007379674
80,4,4,0.3172573160957322
90,1,1,67.21392341538177
90,1,2,65.73880958822922
90,1,3,48.90570374526177
90,1,4,54.67937733751496
90,2,1,16.95954189527355
90,2,2,35.17031173208034
90,2,3,48.66996099751372
90,2,4,137.11647730222796
90,3,1,21.285643174275243
90,3,2,42.71688767136428
90,3,3,60.5866661699919
90,3,4,264.05621450648476
90,4,1,4.225207846069442
90,4,2,10.029966601326185
90,4,3,15.275994692232645
90,4,4,78.36931235377232
100,1,1,29.168007759180654
100,1,2,34.268663627359814
100,1,3,30.35732402477628
100,1,4,45.9566493171892
100,2,1,3.0089882545369817
100,2,2,7.49566910010425
100,2,3,12.351617298496246
100,2,4,47.11653007137558
100,3,1,2.949254670666939
100,3,2,7.109726822730006
100,3,3,12.007677288746738
100,3,4,70.85967691525724
100,4,1,0.2302797086154195
100,4,2,0.6566514288059395
100,4,3,1.190895202980739
100,4,4,8.272388196177964
110,1,1,0.2327345695358508
110,1,2,0.1741764038169946
110,1,3,0.1086121056905976
110,1,4,0.09419849236258457
110,2,1,0.17893034813006184
110,2,2,0.2839304310404218
110,2,3,0.32934263744593234
110,2,4,0.7197443739696755
