,Statistics
Population,"128,635"
Total Employment,"59,572"
Housing Units (HU),"49,919"
Person Trips (PrT),"596,478"
Vehicle Trips (PrT),"336,297"
Daily VMT,"3,627,408"
Daily Per Capita VMT,28.20
Daily VMT Per HU,72.67
PM Peak Hr VMT,"295,931"
PM Peak Hr VMT Per HU,5.93
Daily VHT,"78,848"
Daily Per Capita VHT,0.61
Daily VHT Per HU,1.58
PM Peak Hr VHT,"6,701"
PM Peak Hr VHT Per HU,0.13
Daily VHD,"3,863"
Daily Per Capita VHD,0.03
Daily VHD Per HU,0.08
PM Peak Hr VHD,490
PM Peak Hr VHD Per HU,0.01
