,Type,Item,NumObs,TotCnt,TotMod,AvgCnt,AvgMod,Tstat,AvgErr,PctErr,PctRMSE,MAPE,CorrCoef,SumSqErr,MeanSqErr,Miles,kVMT,kVHT_FF,kVHT_CTime
0,Areawide,All,383,1128465.2256647001,1283302.4954103269,2946.3844012133163,3350.659256946023,1.481366970105957,404.2748557327068,13.721049282171975,50.75383082884443,57.29803228193377,0.9354266908613174,856476088.6612563,2236229.9965045857,112.864194760986,355.3811026401673,522.9584250279918,582.4052965291605
1,Freeways,All,9,156875.63700000002,167546.07476640868,17430.626333333334,18616.230529600965,0.4275720861813953,1185.6041962676318,6.801845060497626,14.824201939180119,9.538004398702938,0.9524208065312109,60091236.41800645,6676804.046445161,5.374999999999999,109.04093138707124,106.30245353937708,114.68226018989749
2,Non-Freeways,All,374,971589.5886646999,1115756.4206439178,2597.8331247719248,2983.3059375505823,1.8194549884599787,385.4728127786575,14.838243808000557,56.17129600297271,58.447337765754845,0.8950423548932619,796384852.2432499,2129371.2626824863,107.48919476098601,246.3401712530961,416.65597148861474,467.72303633926305
3,Urban,All,247,832757.7846816999,937263.347826991,3371.489006808502,3794.5884527408543,1.2595949692787467,423.0994459323524,12.549334880758344,48.09654987433503,59.206830568325586,0.9206015753807342,649483761.6498482,2629488.9135621386,46.16856645907733,213.0182662009663,341.9080637147786,386.996199824502
4,Rural,All,136,295707.440983,346039.1475833357,2174.319418992647,2544.405496936292,0.8158412961671574,370.0860779436448,17.020777844825766,56.73934587519386,53.831317747089855,0.9580730600457098,206992327.011408,1522002.4044956472,66.69562830190867,142.36283643920103,181.05036131321316,195.40909670465848
5,Interstates,All,6,112177.86,116764.8565298635,18696.31,19460.809421643917,0.2847355364853708,764.4994216439154,4.089039075859971,10.922145984476865,7.3313576130925915,0.93913933491722,25019521.823679566,4169920.3039465942,4.5169999999999995,91.47184746705051,86.1804308313045,93.36869820275888
6,Non-Interstate Freeway,All,3,44697.777,50781.2182365452,14899.259,16927.072745515066,0.2888764321553908,2027.8137455150663,13.610165079451711,22.94844178849626,13.95129796992363,0.9940094008479767,35071714.59432688,11690571.531442294,0.8580000000000001,17.56908392002074,20.122022708072578,21.313561987138616
7,Principal Arterial,All,16,127084.07799300001,145850.35574536741,7942.754874562501,9115.647234085463,0.7603880236948003,1172.8923595229626,14.766820555916594,27.559556968668467,22.626923238175518,0.913315699203711,76666699.24647295,4791668.70290456,3.2569999999999997,31.28006572793751,49.22298473402511,57.98859390388784
8,Minor Arterial,All,138,469772.72022799996,504646.2448132109,3404.15014657971,3656.8568464725427,0.7212874361288456,252.7066998928326,7.423488653893174,48.90817449460614,47.8169892105652,0.8440251561566965,382524632.7605913,2771917.6286999374,25.04,86.10973535067129,155.82079593602208,178.514673821809
9,Major Collector,All,144,278077.520775,320225.3271094916,1931.0938942708333,2223.7869938159142,1.104312011447008,292.69309954508094,15.156854900398288,67.30582456117443,54.23794338637982,0.8951456095378555,243262167.35425198,1689320.60662675,51.71700666467267,91.89889194707803,152.31473092281763,170.3127311556044
10,Minor Collector,All,25,20058.13,29624.006077880043,802.3252,1184.9602431152018,1.7897501768675295,382.6350431152018,47.69076717460724,101.63036264163453,90.17924887409862,0.5942138609160307,16622174.041862302,664886.9616744921,15.911188096313332,19.46260406513819,27.773800460378613,28.216372802348374
11,Local Road or Street,All,25,18887.395,24668.50149164745,755.4958,986.740059665898,1.0497468878665297,231.24425966589797,30.60827865170104,97.32922315983205,128.40247029970462,0.6156966538475646,13517321.129256511,540692.8451702604,8.112,5.9740888614373935,11.612598919656437,11.968832273453561
12,Ramps,All,26,57709.7446687,90741.98540632054,2219.6055641807693,3490.076361781559,2.6252716689999915,1270.4707976007899,57.238584102653654,70.5700046377288,62.45085440537438,0.9598837419762639,63791857.710814826,2453532.9888774934,3.452,11.614785300833667,19.91106051571486,20.721832382159814
13,Urban Interstates,All,2,44049.020000000004,50750.61966581113,22024.510000000002,25375.309832905565,5.1449683609591625,3350.7998329055627,15.21395859842313,15.361122577789784,15.199067515686076,1.0,22892246.57965099,11446123.289825495,2.145,54.43193101682856,54.43193101682856,60.62918824863662
14,Urban Non-Interstate Freeway,All,3,44697.777,50781.2182365452,14899.259,16927.072745515066,0.2888764321553908,2027.8137455150663,13.610165079451711,22.94844178849626,13.95129796992363,0.9940094008479767,35071714.59432688,11690571.531442294,0.8580000000000001,17.56908392002074,20.122022708072578,21.313561987138616
15,Urban Principal Arterial,All,14,99864.971283,113777.61462723726,7133.212234500001,8126.9724733740895,0.7130713939300513,993.7602388740888,13.931454808925169,27.63442749342386,23.558232994784824,0.8865222653676826,54400046.45567969,3885717.603977121,2.8179999999999996,23.248820154253607,39.454069440612216,47.25889363074405
16,Urban Minor Arterial,All,120,441854.26437999995,468896.3265091965,3682.118869833333,3907.4693875766375,0.5809633955225153,225.3505177433044,6.1201315250722645,47.98513430089242,49.2842434131162,0.8343855208979134,374619417.97123396,3121828.4830936166,19.467,75.08640541150409,141.4490229040091,163.84193877965956
17,Urban Major Collector,All,76,143911.895,158816.43710228635,1893.5775657894735,2089.6899618721886,0.7899989773531099,196.11239608271512,10.356713114149704,59.06301755357155,60.8539196972781,0.7551569619673997,95062899.06065045,1250827.619219085,15.62256645907733,29.0189506009719,61.80724647576861,68.20757381963311
18,Urban Minor Collector,All,1,1446.75,3458.0406884402228,1446.75,3458.0406884402228,,2011.2906884402228,139.02130212132178,139.02130212132178,139.02130212132178,0.0,4045290.2334063454,4045290.2334063454,0.45199999999999996,1.5630343911749807,2.344551586762471,2.4299156229291055
19,Urban Local Road or Street,All,16,13423.835,21571.399034204613,838.9896875,1348.2124396377883,1.7956095376206498,509.22275213778835,60.694757006508304,101.20090077318872,159.50494621204302,0.6451574964516835,11534585.279096786,720911.5799435491,3.142,4.109322683749906,8.60084582993223,8.928426580842276
20,Urban Ramps,All,15,43509.27201869999,69211.6919632697,2900.618134579999,4614.112797551313,3.0387450280551027,1713.4946629713136,59.073431367739225,64.1017458662796,66.12748742848,0.9502856058529409,51857561.47580318,3457170.7650535456,1.6639999999999997,7.990718022462525,13.698373752792897,14.386701154918692
21,Rural Interstates,All,4,68128.84,66014.23686405236,17032.21,16503.55921601309,-0.20836482299527112,-528.6507839869082,-3.1038296497454425,4.281646853790015,3.3975026617958495,0.9972443824012976,2127275.244028576,531818.811007144,2.372,37.039916450221945,31.748499814475952,32.73950995412227
22,Rural Non-Interstate Freeway,All,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Rural Principal Arterial,All,2,27219.10671,32072.74111813015,13609.553355,16036.370559065075,0.5829024011097299,2426.817204065075,17.831718211189415,24.51707175817931,16.107754941910382,0.9999999999999999,22266652.79079324,11133326.39539662,0.4389999999999999,8.031245573683904,9.768915293412897,10.7297002731438
24,Rural Minor Arterial,All,18,27918.455848,35749.91830401444,1551.025324888889,1986.1065724452467,1.1571802495038255,435.08124755635777,28.051202038724014,42.72693064470505,38.03529452689187,0.9314956260795457,7905214.789357362,439178.59940874233,5.5729999999999995,11.023329939167187,14.37177303201298,14.672735042149444
