,Statistics
Population,"163,664"
Total Employment,"85,076"
Housing Units (HU),"65,162"
Person Trips (PrT),"728,184"
Vehicle Trips (PrT),"436,531"
Daily VMT,"3,982,970"
Daily Per Capita VMT,24.34
Daily VMT Per HU,61.12
AM VMT,"470,809"
AM VMT Per HU,7.23
PM VMT,"945,803"
PM VMT Per HU,14.51
OP VMT,"2,566,358"
OP VMT Per HU,39.38
PM Peak Hr VMT,"325,465"
PM Peak Hr VMT Per HU,4.99
Daily VHT,"89,415"
Daily Per Capita VHT,0.55
Daily VHT Per HU,1.37
AM VHT,"10,620"
AM VHT Per HU,0.16
PM VHT,"21,998"
PM VHT Per HU,0.34
OP VHT,"56,797"
OP VHT Per HU,0.87
PM Peak Hr VHT,"7,676"
PM Peak Hr VHT Per HU,0.12
Daily VHD,"5,183"
Daily Per Capita VHD,0.03
Daily VHD Per HU,0.08
AM VHD,628
AM VHD Per HU,0.01
PM VHD,"1,809"
PM VHD Per HU,0.03
OP VHD,"2,746"
OP VHD Per HU,0.04
PM Peak Hr VHD,685
PM Peak Hr VHD Per HU,0.01
