,Type,Item,NumObs,TotCnt,TotMod,AvgCnt,AvgMod,Tstat,AvgErr,PctErr,PctRMSE,MAPE,CorrCoef,SumSqErr,MeanSqErr,Miles,kVMT,kVHT_FF,kVHT_CTime
0,AADT < 5k,All,631,157503.411,107388.05975908897,249.6092091917591,170.18709945972896,-8.134419865351129,-79.42210973203015,-31.818581529584158,81.47116373572192,inf,0.4231610876950453,26095066.480337534,41355.09743318151,224.816,29.18651617606277,48.84702338774886,49.62958979014382
1,AADT 5k to 10k,All,163,135807.814,76202.35537827472,833.176773006135,467.49911275015165,-13.57860901655558,-365.67766025598337,-43.889564868281646,54.042227523552505,218.33436961947038,0.4167427951125647,33046722.69810992,202740.6300497541,28.345,13.144036975781,24.269282229657346,25.572883333787154
2,AADT 10k to 20k,All,52,79583.21199999998,43589.569005106445,1530.4463846153844,838.2609424058932,-10.34786803856476,-692.1854422094913,-45.227683188878515,49.2729319389189,45.93949984160256,0.6172188706529029,29570345.15770844,568660.4838020854,14.627000000000002,11.990492939160735,20.350143979886628,21.53271735937781
3,AADT 20k to 40k,All,14,43695.648,17691.78037804922,3121.1177142857146,1263.6985984320872,-6.773443127188008,-1857.4191158536273,-59.511344520971015,65.42647859141856,56.57510531628848,0.6240482982189006,58378835.1538674,4169916.7967048143,7.549999999999999,9.58835689254219,10.067573657844017,10.12487239794872
4,AADT 40k to 80k,All,1196,7831574.370999999,1462086.2790949158,6548.13910618729,1222.480166467321,-106.31844313719824,-5325.65893971997,-81.3308766560532,85.52143453284981,79.42732535350139,0.026092862635423934,37507397188.83724,31360699.99066659,1279.9309999999998,1564.8399083484471,1564.9319760685996,1582.9531643849566
5,AADT > 80k,All,12,92573.635,14671.287607123943,7714.469583333333,1222.6073005936619,-30.99146674041695,-6491.86228273967,-84.15176458489077,84.63227576765561,84.03523619200818,2.274746684520826e-24,511523306.94986415,42626942.24582201,12.851999999999999,15.712949027229742,15.712949027229744,15.893894907717609
6,WithCounts,All,2068,8340738.091,1721629.3312225593,4033.238922147002,832.5093477865374,-43.70470738625862,-3200.7295743604645,-79.35878920499532,106.51460750354218,inf,0.8740719830948437,38166011465.27713,18455518.116671726,1568.121,1644.4622603592238,1684.178948350966,1705.707122173932
21,AADT < 5k,FSUTMS RMSE,631,157503.411,107388.05975908897,249.6092091917591,170.18709945972896,-8.134419865351129,-79.42210973203015,-31.818581529584158,81.47116373572192,inf,0.4231610876950453,26095066.480337534,41355.09743318151,224.816,29.18651617606277,48.84702338774886,49.62958979014382
22,AADT 5k to 10k,FSUTMS RMSE,163,135807.814,76202.35537827472,833.176773006135,467.49911275015165,-13.57860901655558,-365.67766025598337,-43.889564868281646,54.042227523552505,218.33436961947038,0.4167427951125647,33046722.69810992,202740.6300497541,28.345,13.144036975781,24.269282229657346,25.572883333787154
23,AADT 10k to 15k,FSUTMS RMSE,43,62700.91100000001,33316.66371826166,1458.1607209302326,774.8061329828294,-9.61387105831286,-683.3545879474033,-46.864147287650006,51.95362746095913,47.318815434503456,0.5138629066130628,24678058.98435822,573908.348473447,13.233,10.38560342622356,18.153632919203986,19.20854320347245
24,AADT 15k to 20k,FSUTMS RMSE,9,16882.301,10272.90528684478,1875.811222222222,1141.433920760531,-9.360152823858835,-734.3773014616911,-39.14985115568796,39.30479559644226,39.34943645329825,0.9131464254746182,4892286.173350218,543587.3525944686,1.394,1.6048895129371765,2.1965110606826364,2.3241741559053666
25,AADT 20k to 30k,FSUTMS RMSE,8,21998.879,9106.358297702916,2749.859875,1138.2947872128645,-12.714782960332156,-1611.5650877871356,-58.60535303774835,59.465823350380454,58.262642720155625,0.5377007851492729,21391733.908979602,2673966.7386224503,2.9959999999999996,3.4619523559160554,3.7413357321434564,3.748225725084607
26,AADT 30k to 50k,FSUTMS RMSE,12,42849.899,15769.013468804347,3570.8249166666665,1314.0844557336957,-6.203542270529038,-2256.7404609329706,-63.19941508192504,71.08476724257459,58.10663420039266,0.23053564097845455,77316369.0851764,6443030.757098033,9.994999999999997,12.76553435145731,13.057435460683855,13.185232709158026
27,AADT 50k to 60k,FSUTMS RMSE,73,296030.593,89250.33294333733,4055.213602739726,1222.607300593662,-18.10613176225217,-2832.606302146064,-69.85097653628748,77.14105680135886,67.13231100629604,0.0,714367188.133128,9785851.89223463,78.18299999999999,95.58710658231428,95.58710658231428,96.68786068861544
28,AADT > 60k,FSUTMS RMSE,1129,7606964.283,1380323.6423702445,6737.789444641276,1222.607300593662,-115.11570694143532,-5515.182144047613,-81.85447451810725,85.26712796481927,80.36449599282041,0.0,37264224039.81369,33006398.618081212,1209.159,1478.326620978532,1478.326620978532,1495.350612567765
