,Type,Item,NumObs,TotCnt,TotMod,AvgCnt,AvgMod,Tstat,AvgErr,PctErr,PctRMSE,MAPE,CorrCoef,SumSqErr,MeanSqErr,Miles,kVMT,kVHT_FF,kVHT_CTime
0,AADT < 5k,All,631,325486.58200000005,214391.81231387221,515.8265958795563,339.76515422166756,-9.879954869829936,-176.06144165788874,-34.13190460985816,76.1576095160941,inf,0.39047234719560564,97378577.82668611,154324.2120866658,224.816,58.4288695938518,99.66665716528703,101.6399137091898
1,AADT 5k to 10k,All,163,277667.782,151664.72241696628,1703.4833251533744,930.4584197359894,-17.068082938183224,-773.024905417385,-45.37907087219566,53.42686388110923,47.05689375979829,0.31365557295516805,135015224.2928726,828314.2594654761,28.345,25.08121856220629,47.84327655064547,51.01725418032508
2,AADT 10k to 20k,All,52,160969.96600000001,75623.52126123714,3095.5762692307694,1454.2984857930219,-16.213602956188016,-1641.2777834377475,-53.020104842889054,56.53096683509651,52.81345051294104,0.30502589784302697,159242573.41532773,3062357.1810639948,14.627000000000002,20.08838970379944,35.50867147536925,38.1672460459349
3,AADT 20k to 40k,All,14,99635.707,27121.816939831122,7116.836214285714,1937.2726385593658,-11.960870588754235,-5179.563575726348,-72.77901893160539,75.37292520918707,72.04819751105235,0.45775518581013996,402840122.13783175,28774294.43841655,7.549999999999999,14.735232594197635,15.470988394523753,15.601242420813799
4,AADT 40k to 80k,All,1196,18254957.432,2247851.1804664033,15263.34233444816,1879.4742311592001,-371.110164078894,-13383.86810328896,-87.6863521109831,88.06542633642101,87.60312647427256,0.12481772213297856,216093325668.98813,180680038.18477267,1279.9309999999998,2405.8329778163525,2405.9740384618685,2433.689482594276
5,AADT > 80k,All,12,235526.715,22556.093125378502,19627.22625,1879.6744271148752,-48.027773729640735,-17747.551822885125,-90.42312753125331,90.63847534203245,90.38716434599716,8.271806125530277e-25,3797731760.4953756,316477646.70794797,12.851999999999999,24.157575737280382,24.157575737280386,24.435767552493388
6,WithCounts,All,2068,19354244.184,2739209.146523688,9358.91885106383,1324.5692197890173,-50.757197543210886,-8034.349631274813,-85.84698466919122,110.37888026656276,inf,0.9141171846974139,220685533927.15622,106714474.81970803,1568.121,2548.3242640076887,2628.621207784975,2664.550906503033
21,AADT < 5k,FSUTMS RMSE,631,325486.58200000005,214391.81231387221,515.8265958795563,339.76515422166756,-9.879954869829936,-176.06144165788874,-34.13190460985816,76.1576095160941,inf,0.39047234719560564,97378577.82668611,154324.2120866658,224.816,58.4288695938518,99.66665716528703,101.6399137091898
22,AADT 5k to 10k,FSUTMS RMSE,163,277667.782,151664.72241696628,1703.4833251533744,930.4584197359894,-17.068082938183224,-773.024905417385,-45.37907087219566,53.42686388110923,47.05689375979829,0.31365557295516805,135015224.2928726,828314.2594654761,28.345,25.08121856220629,47.84327655064547,51.01725418032508
23,AADT 10k to 15k,FSUTMS RMSE,43,126967.41500000001,58755.175606866134,2952.730581395349,1366.399432717817,-15.420585045106554,-1586.331148677532,-53.724208997350914,57.74858151140904,53.42385378161993,0.14369602277867738,125025540.8029018,2907570.7163465535,13.233,17.451933701784885,31.885416390979305,34.26836147548939
24,AADT 15k to 20k,FSUTMS RMSE,9,34002.551,16868.345654370998,3778.061222222222,1874.2606282634442,-15.583116185762657,-1903.8005939587779,-50.39094080214453,51.60965143395889,49.89707934036407,-0.5177595088104421,34217032.61242593,3801892.51249177,1.394,2.6364560020145547,3.623255084389952,3.898884570445507
25,AADT 20k to 30k,FSUTMS RMSE,8,48181.026,13802.731068427043,6022.62825,1725.3413835533804,-12.730602043806215,-4297.28686644662,-71.35235130022544,72.80575302234641,70.82943518197482,0.13194384739859844,153813160.87593296,19226645.10949162,2.9959999999999996,5.262850682120964,5.686516666287396,5.706379832765985
26,AADT 30k to 50k,FSUTMS RMSE,12,118546.18400000001,24357.698071106126,9878.848666666667,2029.8081725921772,-15.768798168440759,-7849.040494074489,-79.45298849003345,81.5796216181033,78.54702071473042,-0.6078125319815977,779394406.1383508,64949533.84486257,9.994999999999997,19.679099114791804,20.132249576466478,20.370729560062657
27,AADT 50k to 60k,FSUTMS RMSE,73,984634.919,137216.23317938586,13488.149575342466,1879.6744271148748,-104.98992685822445,-11608.475148227591,-86.06425279749948,86.3448753558194,85.99318009085393,-1.5716431638507526e-23,9901494274.432928,135636907.86894423,78.18299999999999,146.95858573512228,146.95858573512234,148.6509192776681
28,AADT > 60k,FSUTMS RMSE,1129,17438757.725,2122152.428212694,15446.198162090346,1879.674427114875,-375.0755302119087,-13566.523734975472,-87.83082796562739,88.18224326769183,87.75904173947899,-3.8381180422460484e-22,209459195710.17413,185526302.6662304,1209.159,2272.825250615795,2272.825250615796,2298.998463897086
29,AADT < 10k,FSUTMS Pct Error,794,603154.364,366056.53473083844,759.640256926952,461.0283812730963,-11.726134898594932,-298.61187565385575,-39.3096433385271,71.21870090418768,inf,0.6489947441281332,232393802.1195587,292687.4082110311,253.161,83.51008815605809,147.5099337159325,152.65716788951488
30,AADT 10k to 30k,FSUTMS Pct Error,60,209150.992,89426.25232966416,3485.8498666666665,1490.437538827736,-12.2801234287458,-1995.4123278389304,-57.2432090928528,65.5279419264826,55.21558180214555,0.2630909448182812,313055734.2912606,5217595.57152101,17.623,25.351240385920406,41.19518814165666,43.873625878700885
31,AADT 30k to 50k,FSUTMS Pct Error,12,118546.18400000001,24357.698071106126,9878.848666666667,2029.8081725921772,-15.768798168440759,-7849.040494074489,-79.45298849003345,81.5796216181033,78.54702071473042,-0.6078125319815977,779394406.1383508,64949533.84486257,9.994999999999997,19.679099114791804,20.132249576466478,20.370729560062657
32,AADT 50k to 65k,FSUTMS Pct Error,373,5345206.705,701118.5613138482,14330.312882037533,1879.6744271148746,-283.79972549566355,-12450.638454922659,-86.88322828267783,87.08364057233817,86.83492972774171,9.098986738083304e-23,58088923800.63383,155734380.16255718,399.48299999999995,750.8979791671318,750.897979167132,759.5451080900028
33,AADT 65k to 75k,FSUTMS Pct Error,753,11714612.358,1415394.8436175007,15557.254127490038,1879.6744271148748,-401.84429032123955,-13677.579700375163,-87.91769799663139,88.12217468705026,87.8734648612568,1.0819522412193602e-21,141524386352.06152,187947392.23381343,806.4629999999999,1515.887877514344,1515.8878775143444,1533.3444139189598
34,AADT > 75k,FSUTMS Pct Error,76,1363573.5810000002,142855.25646073045,17941.757644736845,1879.6744271148743,-102.45176134206604,-16062.08321762197,-89.52346551361276,89.8427336454755,89.46463738855368,-2.2582030722697656e-22,19747379831.911736,259833945.15673336,81.39599999999999,152.99797966944237,152.99797966944243,154.75986116579145
