Travel Time Corridor,Corridor Name,Direction,From,From Node,To,To Node,Length (miles),Free Flow Travel Time (seconds),PM Peak Loaded Travel Time (seconds),Travel Time Ratio,LOS
1,US 2,EB,Fairchild AFB,19809,Flint Road,19341,,,,,
2,US 2,WB,Flint Road,19341,Fairchild AFB,19809,,,,,
3,US 2 (Division/Browne/Ruby),NB,I-90,16572/16614,Francis Ave.,5525,,,,,
4,US 2 (Division/Browne/Ruby),SB,Francis Ave.,5525,I-90,16572/16614,,,,,
5,US 2 (Division St),NB,Francis Ave,5525,N. Division Wye,27041,,,,,
6,US 2 (Division St),SB,N. Division Wye,27041,Francis Ave,5525,,,,,
7,US 2 (Newport Hwy),NB,N. Division Wye,27041,Day Mt. Spokane,1835,,,,,
8,US 2 (Newport Hwy),SB,Day Mt. Spokane,1835,N. Division Wye,27041,,,,,
9,SR 27 (Pines Rd),NB,32nd Ave,20177,I-90,11351,,,,,
10,SR 27 (Pines Rd),SB,I-90,11351,32nd Ave,20177,,,,,
11,SR 27 (Pines Rd),NB,I-90,11351,Trent Ave.,8613,,,,,
12,SR 27 (Pines Rd),SB,Trent Ave.,8613,I-90,11351,,,,,
13,SR 290 (Trent Ave),EB,Hamilton St.,14826,Mission Wye Conn.,12741,,,,,
14,SR 290 (Trent Ave),WB,Mission Wye Conn.,12741,Hamilton St.,14826,,,,,
15,SR 290 (Trent Ave),EB,Mission Wye Conn.,12741,Evergreen Road,7834,,,,,
16,SR 290 (Trent Ave),WB,Evergreen Road,7834,Mission Wye Conn.,12741,,,,,
17,SR 291 (Francis Ave),EB,Division Street,5525,Indian Trail Road,5670,,,,,
18,SR 291 (Francis Ave),WB,Indian Trail Road,5670,Division Street,5525,,,,,
19,US 395 (Division St),NB,N. Division Wye,27041,Wandermere Rd.,2585,,,,,
20,US 395 (Division St),SB,Wandermere Rd.,2585,N. Division Wye,27041,,,,,
21,SR 902 (Lefevre St),NB,Medical Lk City Limits,24327,Medical Lk City Limits,23646,,,,,
22,SR 902 (Lefevre St),SB,Medical Lk City Limits,23646,Medical Lk City Limits,24327,,,,,
23,SR 904 (1st St),NB,Cheney City Limits,25178,Cheney City Limits,24647,,,,,
24,SR 904 (1st St),SB,Cheney City Limits,24647,Cheney City Limits,25178,,,,,
25,Hayford Rd,NB,SR 902 (Medical Lake Rd),23278,Trails Rd,14040,,,,,
26,Hayford Rd,SB,Trails Rd,14040,SR 902 (Medical Lake Rd),23278,,,,,
27,Northwest Blvd/Assembly St,NB,Monroe St,12634,SR 291 (Nine Mile Rd),5775,,,,,
28,Northwest Blvd/Assembly St,SB,SR 291 (Nine Mile Rd),5775,Monroe St,12634,,,,,
29,Walnut St/Maple St/Ash St,NB,I 90,16995/17076,Francis Ave,5585/5589,,,,,
30,Walnut St/Maple St/Ash St,SB,Francis Ave,5585/5589,I 90,16995/17076,,,,,
31,Lincoln St/Monroe St,NB,I 90,16765/16785,Francis Ave,5573,,,,,
32,Lincoln St/Monroe St,SB,Francis Ave,5573,I 90,16765/16785,,,,,
33,Hamilton St/Nevada St,NB,SR 290 (Trent Ave),14826,US 2 (Newport Hwy),3214,,,,,
34,Hamilton St/Nevada St,SB,US 2 (Newport Hwy),3214,SR 290 (Trent Ave),14826,,,,,
35,Market St/Haven St/Greene St/Freya St,NB,Sprague Ave,15299,Francis Ave,5394,,,,,
36,Market St/Haven St/Greene St/Freya St,SB,Francis Ave,5394,Sprague Ave,15299,,,,,
37,Sprague Ave,EB,US 2 (Division),15648,I 90,27011,,,,,
38,Sprague Ave,WB,I 90,27011,US 2 (Division),15648,,,,,
39,Wellesley Ave,EB,Assembly St,8036,Havana St,7569,,,,,
40,Wellesley Ave,WB,Havana St,7569,Assembly St,8036,,,,,
41,High Dr/Cedar St/Walnut St/Maple St,NB,29th Ave,20905,I 90,17071/17133,,,,,
42,High Dr/Cedar St/Walnut St/Maple St,SB,I 90,17071/17133,29th Ave,20905,,,,,
43,Grand Blvd/9th Ave/McClellan St/8th Ave/Washington St/Stevens St,NB,High Dr,22187,I 90,16735/16744,,,,,
44,Grand Blvd/9th Ave/McClellan St/8th Ave/Washington St/Stevens St,SB,I 90,16735/16744,High Dr,22187,,,,,
