Travel Time Corridor,Corridor Name,Direction,From,From Node,To,To Node,Length (miles),Free Flow Travel Time (seconds),PM Peak Loaded Travel Time (seconds),Travel Time Ratio,LOS
45,Regal St,NB,57th Ave,22857,29th Ave,20677,,,,,
46,Regal St,SB,29th Ave,20677,57th Ave,22857,,,,,
47,Ray St/Thor St/Hartson Ave/Freya St,NB,29th Ave,20656,Sprague Ave,15299,,,,,
48,Ray St/Thor St/Hartson Ave/Freya St,SB,Sprague Ave,15299,29th Ave,20656,,,,,
49,29th Ave,EB,High Dr,20905,Havana St,20611,,,,,
50,29th Ave,WB,Havana St,20611,High Dr,20905,,,,,
51,57th Ave,EB,Perry St,22885,Palouse Hwy,22836,,,,,
52,57th Ave,WB,Palouse Hwy,22836,Perry St,22885,,,,,
53,Mullan Rd/Argonne Rd,NB,Appleway Blvd,15229,Bigelow Gulch Rd,4702,,,,,
54,Mullan Rd/Argonne Rd,SB,Bigelow Gulch Rd,4702,Appleway Blvd,15229,,,,,
55,Dishman Mica Rd,NB,Thorpe Rd,21900,Appleway Blvd,15229,,,,,
56,Dishman Mica Rd,SB,Appleway Blvd,15229,Thorpe Rd,21900,,,,,
57,Sullivan Rd (north section),NB,I 90 ,12331,Wellesley Ave,6851,,,,,
58,Sullivan Rd (north section),SB,Wellesley Ave,6851,I 90 ,12331,,,,,
59,Sullivan Rd (south section),NB,32nd Ave,20059,I 90 ,12331,,,,,
60,Sullivan Rd (south section),SB,I 90 ,12331,32nd Ave,20059,,,,,
61,Barker Rd,NB,15th Ave,17163,SR 290 (Trent Ave),6746,,,,,
62,Barker Rd,SB,SR 290 (Trent Ave),6746,15th Ave,17163,,,,,
63,Liberty Lake Rd/Harvard Rd,NB,Sprague Ave,14158,SR 290 (Trent Ave),5210,,,,,
64,Liberty Lake Rd/Harvard Rd,SB,SR 290 (Trent Ave),5210,Sprague Ave,14158,,,,,
65,32nd Ave,EB,Dishman Mica Rd,20330,Sullivan Rd,20059,,,,,
66,32nd Ave,WB,Sullivan Rd,20059,Dishman Mica Rd,20330,,,,,
67,Appleway Blvd/University Rd/Sprague Ave,EB,I 90,15148,Sullivan Rd,14630,,,,,
68,Appleway Blvd/University Rd/Sprague Ave,WB,Sullivan Rd,14630,I 90,15148,,,,,
