Mode,AM_PR,MD_PR,PM_PR,NI_PR,Period Total,AM_PK_HR,PM_PK_HR,Daily Matrix
LOV,,,,,,,,
HOV,,,,,,,,
LCV,,,,,,,,
Auto_Ext,,,,,,,,
Truck,,,,,,,,
Truck_Ext,,,,,,,,
