Indicator,LOV,HOV,LCV,Total Auto,Truck,Total Vehicle Trips
Internal AM_PR Trips,,,,,,
Internal MD_PR Trips,,,,,,
Internal PM_PR Trips,,,,,,
Internal NI_PR Trips,,,,,,
Internal AM_PK_HR Trips,,,,,,
Internal PM_PK_HR Trips,,,,,,
Internal Daily Trips,,,,,,
External AM_PR Trips,,,,,,
External MD_PR Trips,,,,,,
External PM_PR Trips,,,,,,
External NI_PR Trips,,,,,,
External AM_PK_HR Trips,,,,,,
External PM_PK_HR Trips,,,,,,
External Daily Trips,,,,,,
